Scopus - Analyze author output

"Author name:","Khapra, Mitesh M."
"Scopus author ID:","36028388700"

"Co-authors:","27"

"Co-author","Co-authored documents"

"Bhattacharyya,Pushpak","10"
"Udupa,RaghavendraU.","3"
"Kumaran,A.","3"
"Ravindran,Balaraman","3"
"Ramanathan,Ananthakrishnan","3"
"Visweswariah,Karthik","3"
"Larochelle,Hugo","2"
"Sohoney,Saurabh","2"
"Joshi,SalilN.","2"
"Chandar,Sarath","2"
"Kulkarni,AnupR.","2"
"Shah,SapanD.","1"
"Gune,Harshada","1"
"Kedia,Piyush","1"
"Aharoni,Ehud","1"
"Sarath,ChandarAP","1"
"Rajendran,Janarthanan","1"
"Alzate,Carlos","1"
"Balamurali,A.R.","1"
"Chatterjee,Arindam","1"
"Lauly,Stanislas","1"
"Raykar,VikasChandrakant","1"
"Slonim.,Noam","1"
"Rinott,Ruty","1"
"Bapat,Mugdha","1"
"Saha,Amrita","1"
"Dankin,Lena","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
