Scopus - Analyze author output

"Author name:","Khemani, Deepak E E P A K"
"Scopus author ID:","6602862826"

"Co-authors:","48"

"Co-author","Co-authored documents"

"Chakraborti,Sutanu","7"
"Deepak,PuneetM.","5"
"Yegnanarayana,Bayya","3"
"Joseph,MinuMary","3"
"Rao,Delip","3"
"Sarkar,Manish","3"
"Shekhar,Shashank","2"
"Raghunandan,M.A.","2"
"Balachandran,Vipin","2"
"Shekhar,Shubhranshu","2"
"Deodhare,DiptiIPTI","2"
"Selvamani,RadhikaB.","2"
"Das,Sukhendu","2"
"BhanuPrasad,P.VSR","2"
"Michael,SöllnerM.","2"
"Wiratunga,Nirmalie","2"
"Sadiq,MohdAbdulKarim","2"
"Massie,Stewart","2"
"CerviñoBeresi,Ulises","1"
"SarithaV","1"
"Yadav,RajeshShyamSundar","1"
"Penta,KiranKumar","1"
"Abraham,SavithaSam","1"
"Senthil,Udayar","1"
"Celorrio,SergioJiménez","1"
"Saritha,V.","1"
"Kumar,AnandAnand","1"
"Kumar,SandeepSai","1"
"Py,Frédéric","1"
"Saladi,NareshBabu","1"
"Sitaraman,K.","1"
"Rajan,Kanna","1"
"Dhar,AnandaRabi","1"
"Gopal,S.Venu","1"
"Bangani,Rakesh","1"
"DeepakP","1"
"Selvamani,B.Radhika","1"
"Yadav,R.SyamaSundar","1"
"Palshikar,GirishKeshav","1"
"Variganti,Saritha","1"
"Lothian,RobertM.","1"
"Murugeswari,I.","1"
"Dhiman,NitinKumar","1"
"Kavuluri,BharatRanjan","1"
"Prasad,PrahladVSRBhanu","1"
"Somayajulu,S.G.","1"
"DHIMAN,N.ITINKUMAR","1"
"Narayanaswamy,N.S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
