Scopus - Analyze author output

"Author name:","Manokaran, Rajsekar"
"Scopus author ID:","14831545000"

"Co-authors:","31"

"Co-author","Co-authored documents"

"Raghavendra,PrasadK.","3"
"Charikar,MosesS.","3"
"Guruswami,Venkatesan","3"
"Chakinala,R.C.","2"
"Makarychev,Konstantin","2"
"Kumarasubramanian,Abishek","2"
"Håstad,Johan","2"
"Sviridenko,MaximI.","2"
"Rajaraman,Rajmohan","1"
"Kumar,AmitRajesh","1"
"Noubir,Guevara","1"
"Sachdeva,Sushant","1"
"Wright,JohnD.","1"
"Sundaram,RaviShankar","1"
"Bhattacharyya,ArnabSankar","1"
"Vijayaraghavan,Aravindan","1"
"Rangan,ChandrasekharanPandu","1"
"Laing,KofiA.","1"
"Bhaskara,Aditya","1"
"Dalmau,Víctor","1"
"Huang,Sangxia","1"
"PanduRangan,Chandrasekaran","1"
"Tulsiani,Madhur","1"
"Wenner,Cenny","1"
"Vishnoi,NisheethK.","1"
"Krokhin,AndreiA.","1"
"Odonnell,Ryan","1"
"Austrin,Per","1"
"Naor,JosephSeffi","1"
"Schwartz,Roy","1"
"Arora,Sanjeev","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
