Scopus - Analyze author output

"Author name:","Murthy, Hema"
"Scopus author ID:","35618893300"

"Co-authors:","39"

"Co-author","Co-authored documents"

"Farris,ThomasN.","14"
"Harish,G.","3"
"Pradhan,Abhijit","2"
"Hamza,N.","2"
"Ghangrekar,PareshS.","2"
"Rao,BalkrishnaC.","2"
"Dey,Subhadeep","2"
"Rammohan,Y.S.","2"
"Rajeev,P.T.","2"
"Matlik,JohnF.","2"
"Garcia,DanielB.","2"
"Veezhinathan,Kamakoti","2"
"Abhilash,M.N.","2"
"Elluru,Raghavendra","1"
"Vadivuchezhian,K.","1"
"Banjare,Ramprakash","1"
"Shanmugam,S.Aswin","1"
"Gean,MattC.","1"
"Chevireddy,Sadhana","1"
"Bharathan,R.D.","1"
"Sundar,Subbiah","1"
"Elluru,NareshKumar","1"
"Vadapalli,Anandaswarup","1"
"Srinivasan,SridharA.","1"
"Mauthe,AndreasU.","1"
"Venkatachalam,Senthilkumar","1"
"Jobin,K.J.","1"
"Ramakrishna,PeriyapatnaA.","1"
"Prakash,Anusha","1"
"Mseis,G.N.","1"
"Gao,Guofeng","1"
"Sharma,RahulK.","1"
"AswinShanmugam,S.","1"
"Bhandari,Akshay","1"
"Baskaran,Shyamsunder","1"
"Okane,Masaki","1"
"Prahallad,KishoreS.","1"
"Goryacheva,IrinaG.","1"
"Marnerides,AngelosK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
