Scopus - Analyze author output

"Author name:","Narayanaswamy, N. S."
"Scopus author ID:","8935093600"

"Co-authors:","49"

"Co-author","Co-authored documents"

"Sadagopan,N.","6"
"Krithika,R.","5"
"Ramakrishna,GummadiS.","5"
"Raman,Venkatesh","5"
"Chandran,LivyaSunil","4"
"Subashini,R.","3"
"Swidan,Firas","2"
"Manthey,Bodo","2"
"Rahul,ChoudhariS.","2"
"Hoeksma,RubenH.","2"
"Saurabh,Saket","2"
"Ramanujan,M.S.","2"
"Shankar,BalSri","2"
"Cornelissen,Kamiel","2"
"Murugeswari,I.","2"
"Misra,Neeldhara","2"
"Backofen,Rolf","2"
"Joshi,Anup","1"
"VeniMadhavan,C.E.","1"
"Ramesh,HonnasiddaiahS.","1"
"Gopalan,Ram","1"
"Venkatakrishnan,R.","1"
"Kumar,AnandAnand","1"
"Fiorini,Samuel","1"
"KanthiKiran,S.","1"
"Mathew,Rogers","1"
"Azar,Yossi","1"
"Lotker,Zvi","1"
"Gummadi,Ravi","1"
"Majumdar,Debapriyo","1"
"S.Rahul,C.","1"
"Waanders,Marten","1"
"PanduRangan,Chandrasekaran","1"
"Roy,Swapnoneel","1"
"Johannsen,Jan","1"
"Ghosh,Esha","1"
"Fiat,Amos","1"
"Levy,Meital","1"
"Babu,R.Subhash","1"
"Lokshtanov,Daniel","1"
"Muthukrishnan,Sambavi","1"
"Belkale,Naveen","1"
"Sivadasan,Naveen","1"
"Subramanian,ChandrasekaranR.","1"
"Singh,Gaurav","1"
"Cirino,K.","1"
"Srinivasan,Anju","1"
"Weber,Ingmar","1"
"Khemani,DeepakEEPAK","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
