Scopus - Analyze author output

"Author name:","Nasre, Rupesh"
"Scopus author ID:","35275730500"

"Co-authors:","25"

"Co-author","Co-authored documents"

"Burtscher,Martin","5"
"Pingali,KeshavK.","5"
"Govindarajan,Ramaswamy","3"
"Unnikrishnan,C.","1"
"Rajan,Kaushik","1"
"Chakrabarti,Soumen","1"
"Ratnakar,Bollu","1"
"Karambelkar,Hrishikesh","1"
"Desai,Rushi","1"
"Amilkanthwar,Madhur","1"
"Aditya,Bagus","1"
"Khedker,UdayP.","1"
"Srikant,Y.N.","1"
"Li,Bixin","1"
"Samrit,Sudhir","1"
"Hulgeri,Arvind","1"
"Putta,Sandeep","1"
"Kalikar,Saurabh","1"
"D'Souza,Deepak","1"
"Devshatwar,Shrinivas","1"
"Parag","1"
"Liu,Fei","1"
"Abhinav","1"
"De,Arnab","1"
"Sudarshan,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
