Scopus - Analyze author output

"Author name:","Baidya, Mahiuddin"
"Scopus author ID:","23989974600"

"Co-authors:","38"

"Co-author","Co-authored documents"

"Mayr,Herbert","12"
"Sahoo,Harekrishna","6"
"Yamamoto,Hisashi","4"
"Kobayashi,Shinjiro","4"
"Mayer,PeterMichael","4"
"Maji,Biplab","3"
"Ramakrishna,Isai","3"
"Ammer,Johannes","3"
"Mondal,SureshKumar","3"
"Mandal,Arabinda","3"
"Samanta,Shubhankar","3"
"Manna,SusantaKumar","3"
"Selvakumar,Jayaraman","2"
"Hossain,Maidul","2"
"Adak,ArupKr","2"
"Ghorai,ShyamalKr","2"
"Jana,Akash","2"
"Chattopadhyay,Sourav","2"
"Ofial,ArminR.","2"
"Brotzel,Frank","2"
"Roy,SomenathK.","2"
"Mandal,Anup","2"
"Grandhi,GowriSankarAnkar","2"
"Das,SomnathK.","2"
"Griffin,KimberlyA.","1"
"Nigst,TobiasA.","1"
"Venkatakrishnan,Parthasarathy","1"
"Horn,Markus","1"
"Sengupta,Sanchita","1"
"Zipse,Hendrik","1"
"Singer,Thomas","1"
"Moorthy,JaruguNarasimha","1"
"Schmidhammer,Uli","1"
"Remennikov,GrigoriyYa","1"
"Riedle,Eberhard","1"
"Lakhdar,Sami","1"
"Reddy,MalluKesava","1"
"Ray,JayantaKumar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
