Scopus - Analyze author output

"Author name:","Baire, Beeraiah"
"Scopus author ID:","9636820300"

"Co-authors:","36"

"Co-author","Co-authored documents"

"Srikrishna,Adusumilli","11"
"Hoye,ThomasR.","8"
"Woods,BrianP.","4"
"Willoughby,PatrickH.","3"
"Niu,Dawen","3"
"RameshBabu,R.Ramesh","2"
"Brown,SusanG.","1"
"Diaz,PaulW.","1"
"Su,Ying","1"
"Reed,JohnC.","1"
"Roth,GregoryPaul","1"
"Satyanarayana,Gedo","1"
"Kaur,Harneet","1"
"Divlianska,DanielaB.","1"
"Georg,GundaI.","1"
"Rusman,Yudi","1"
"Salomon,ChristineE.","1"
"Zeng,Fuyue","1"
"O'Keefe,BarryR.","1"
"Welsh,Kate","1"
"Gowri,Vijayendran","1"
"Newman,DavidJ.","1"
"Chen,Junhua","1"
"Wang,Tao","1"
"Babu,R.Ramesh","1"
"Michel,AndrewR.","1"
"Kim,Sylvia","1"
"Kiankarimi,Mehrak","1"
"Hassig,ChristianA.","1"
"Kung,Paul","1"
"Francis,Subhashree","1"
"Wright,AmyE.","1"
"LuuNguyen,Quang","1"
"Zhai,Dayong","1"
"Morshedian,Shana","1"
"Walters,MichaelA.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
