Scopus - Analyze author output

"Author name:","Chakraborty, Debashis P."
"Scopus author ID:","7102946971"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Ramkumar,Venkatachalam","25"
"Gowda,RavikumarR.","18"
"Garg,RekhaN.","11"
"Malik,Payal","11"
"Das,RimaR.","10"
"Mandal,Mrinmay","10"
"Tomar,RakeshKS","9"
"Singh,RavenderD.","9"
"Kalra,NaveenL.","8"
"Roesky,HerbertW.","8"
"Mukherjee,SacchidanandaK.","8"
"Aggarwal,PramilaK.","8"
"Manogaran,Sadasivam","7"
"Chaisse,Julien","7"
"Roymuhury,SagnikK.","6"
"Chen,EugeneYouXian","6"
"Saha,Tanmoy","6"
"Kamble,KalpanaH.","5"
"Schmidt,HansGeorg","5"
"Ghosh,Swarup","5"
"Dasgupta,Siddharth","4"
"Chandrasekharan,Hariharan","4"
"Rajashekhar,Bijja","4"
"Saha,Saurav","4"
"Dwivedi,BrahmS.","4"
"Noltemeyer,Mathias","4"
"Mittal,RajBala","4"
"Sehgal,VinayKumar","4"
"Goddard,WilliamA.","4"
"Müller,RichardP.","3"
"Popp,FrankD.","3"
"Ajithkumar,ThalasserilG.","3"
"Sharma,PratimaK.","3"
"Rajamohanan,PattuparambilRamanpillai","3"
"Horchler,Sabine","3"
"Gnanakumar,EdwinS.","3"
"Gopinath,ChinnakondaS.","3"
"Adhikary,ParthaPratimRatim","3"
"Behera,UmaKanta","3"
"Krätzner,Ralph","3"
"Santra,Priyabrata","3"
"Sehgal,Mukesh","3"
"Monkowius,UweV.","3"
"Pál,Madan","3"
"Pradhan,SanatanN.","3"
"Das,BappaT.","3"
"Siefken,Rolf","3"
"Singh,VinodKumar","3"
"Pathak,HimanshuP.","3"
"Jolly,MonicaS.","2"
"Purakayastha,TapanJyoti","2"
"Chander,SubhashSarat","2"
"Chopra,UshaKiran","2"
"Singh,RajendraKumarBrojen","2"
"Chand,DillipKumar","2"
"Pinkas,Jiri","2"
"Sharma,UdayC.","2"
"Gupta,VinodKumarN","2"
"Kumar,Animesh","2"
"Usón,Isabel","2"
"Murugavel,Ramaswamy","2"
"Pappuru,Sreenath","2"
"Sahoo,RabiNarayan","2"
"Chattaraj,Sudipta","2"
"Casey,AdriaCatala","2"
"Patra,AshokKumar","2"
"Singh,AnilKumarR","2"
"Sathyamurthy,Narayanasami","2"
"Sharma,DineshKumar","2"
"Mandal,Dipa","2"
"Teichert,Markus","2"
"Bhadraray,Subhendu","2"
"Barman,DebasisC.","2"
"Mukherjee,Jaydeep","2"
"Nagarajan,Shantha","2"
"Kunjir,ShrikantM.","2"
"Guha,Arup","2"
"Goda,VinodKumar","1"
"Walawalkar,MrinaliniGanapati","1"
"Ghosh,SunilKumar","1"
"Pandey,SurajC.","1"
"Mishra,RajendraP.","1"
"Singh,GyanendraPratap","1"
"Strachan,Alejandro","1"
"Sachdev,C.B.","1"
"Weinstein,Boris","1"
"Singh,DhyanN.","1"
"Oppelt,KerstinT.","1"
"Jagan,Rajamony","1"
"Agrawal,KhushbooN.","1"
"Varghese,Babu","1"
"Singh,ManishKumar","1"
"Chakraborty,Abhishek","1"
"KumarPaul,Ranjit","1"
"Gupta,NitishC.","1"
"Kumar,PradeepRamesh","1"
"Saha,Supradip","1"
"Bhattacharyya,Anushree","1"
"Saharawat,YashpalSingh","1"
"Bhavanarayana,M.","1"
"Shreeve,Jean'neMNeM","1"
"Kirsch,WarrenR.","1"
"Teasdale,Ian","1"
"Fang,Jim-Min","1"
"Jat,RajKumar","1"
"Biswas,SadaruddinS.","1"
"Aggarwal,PramodKumar","1"
"Sarkar,AsgarAli","1"
"List,Manuela","1"
"Sharma,AchlaR.","1"
"Majumder,Chandrima","1"
"Thushara,K.S.","1"
"Sarma,K.SSundara","1"
"Amirinejad,AliAshraf","1"
"Jat,S.L.","1"
"Debroy,Bibek","1"
"Choudhury,S.Ghosal","1"
"Ahmed,MukhtarS.","1"
"McCleskey,JosefE.","1"
"Dietrich,Stefan","1"
"Reipschläger,Oliver","1"
"Nandy,SandipKumar","1"
"Bai,Hua","1"
"Raghav,Dhwani","1"
"Sharma,ShwetaK.","1"
"Narjary,Bhaskar","1"
"Choudhary,KarunKumar","1"
"Ambashta,R.","1"
"Chandra,PraphullP.","1"
"LADHA,JagdishKumar","1"
"Sinha,Tanaya","1"
"CG,Hariprasad","1"
"Sundar,J.Vijaya","1"
"Gathala,MaheshKumar","1"
"Lal,Mohan","1"
"Biswas,ShuklaM.","1"
"Nayak,Kaustuv","1"
"Schäfer,Matthias","1"
"Sidhu,GurjantSingh","1"
"Singh,RaghavendraK.","1"
"Singh,SheorajB.","1"
"Macdonald,AndrewJ.","1"
"Nag,Biswajit","1"
"Rao,Y.VSubba","1"
"Sinha,Blswajit","1"
"Mukherjee,SubhashChandraHandra","1"
"Mazumdar,SonaliP.","1"
"Parihar,ChiterMal","1"
"Wefer,JohnM.","1"
"Thangasamy,Arunachalam","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
