Scopus - Analyze author output

"Author name:","Dua, Arti K."
"Scopus author ID:","7004844676"

"Co-authors:","80"

"Co-author","Co-authored documents"

"George,VishwasC.","21"
"Roy,Mainak","14"
"Agarwala,R.P.","13"
"Zahn,DietrichRtT","10"
"Raj,PushkarAjaydVimal","8"
"Cherayil,BinnyJ.","8"
"Thurzo,Ilja","5"
"Vilgis,ThomasA.","5"
"Kundu,Prasanta","4"
"Pillai,ChirakarumpilGopalanSivan","3"
"Agarwala,R.P.","3"
"Pruthi,D.D.","3"
"Saha,Soma","3"
"Titus,Elby","2"
"Salvan,Georgeta","2"
"Katti,VRR.","2"
"Ténné,DmitriA.","2"
"Nuwad,Jitendra","2"
"Muthe,KunalPurnachandra","2"
"Gadkari,SanjayC.","2"
"Misra,DeviShanker","2"
"Adhikari,Ronojoy","2"
"Schulze,Steffen","2"
"Singh,ManojKumar","2"
"Pande,BrijamohanM.","2"
"Sahni,VirahtC.","2"
"Das,ArindamC.","2"
"Gupta,ShivKumar","2"
"Tyagi,PawanK.","2"
"Kumar,Ashutosh","2"
"Dayal,RavinKumar","1"
"Goswami,AshokK.","1"
"Bhattacharjee,Abir","1"
"Manohar,C.V.","1"
"Debnath,AnilKrishna","1"
"Ramachandran,Kandasamy","1"
"Raj,Baldev","1"
"Rekha,M.A.","1"
"Sachdeva,Amita","1"
"Unni,K.NN","1"
"Bhatacharyya,D.","1"
"Kaniyankandy,Sreejith","1"
"Kutty,K.K.","1"
"Venkatramani,Narayanan","1"
"Gmucová,Katarína","1"
"Sinha,Antara","1"
"Bellare,JayeshRamesh","1"
"Kulshreshtha,ShailendraK.","1"
"LeNormand,François","1"
"Negadi,Amina","1"
"Parvathavarthini,Natarajan","1"
"Saini,RameshwarD.","1"
"Patil,DinkarS.","1"
"Chatterjee,Sambarta","1"
"Karandikar,SunandaJ.","1"
"Thatte,S.B.","1"
"Maity,HiranmayP.","1"
"Nandi,Mintu","1"
"Girija,KalpathyGanapathy","1"
"Friedrich,Marion","1"
"Gogawale,SVV.","1"
"Naik,M.C.","1"
"Arunagirinathan,ManickamAdhimoolam","1"
"Sawant,ShilpaNandkishor","1"
"Satpati,AshisKumar","1"
"Pujari,PradeepKumar","1"
"Sudarsan,VasanthakumaranKumaran","1"
"Sorin-Cojocaru,Costel","1"
"Ghose,Somdeb","1"
"Palnitkar,UmeshA.","1"
"Pandey,Mukesh","1"
"Desai,P.B.","1"
"Krishnan,RajM.","1"
"Sudarshan,Kathi","1"
"Tyagi,A.K.","1"
"Manmeet,Kaur","1"
"Arora,AkhileshK.","1"
"Kaur,ManmeetMalhiRamandeep","1"
"Rao,R.VSubba","1"
"Roy,AmitavaP.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
