Scopus - Analyze author output

"Author name:","Krishnan, Mangala Sunder"
"Scopus author ID:","8666063900"

"Co-authors:","20"

"Co-author","Co-authored documents"

"Carrington,Tucker","6"
"Sanctuary,BryanClifford","3"
"Kumar,AtulM.","2"
"Lee,Nelson","2"
"Pandey,ManojKumar","2"
"Sampson,DemetriosG.","2"
"Ali,MohammadAkbar","2"
"Karthikeyan,SubramanianVedhanarayanan","1"
"Huang,Ronghuai","1"
"Commodari,Fernando","1"
"Campolieti,G.","1"
"Arunan,Elangannan","1"
"Snider,RobertF.","1"
"Lam,MimiE.","1"
"Prasad,BhaskarjyotiRam","1"
"Ramesh,Ramapanicker","1"
"Kinshuk.,HiroakiOgataLooi","1"
"McGreal,Rory","1"
"Chen,Nianshing","1"
"HALSTEAD,ThomasK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
