Scopus - Analyze author output

"Author name:","Kumar, Sanjay"
"Scopus author ID:","57190957994"

"Co-authors:","50"

"Co-author","Co-authored documents"

"Gianturco,FrancoAntonio","14"
"Sathyamurthy,Narayanasami","8"
"Raimondi,Mario","5"
"Sironi,Maurizio","5"
"Amaran,Saieswari","5"
"Saieswari,Amaran","3"
"Mathur,Deepak","3"
"Kumar,TarunJDhilip","3"
"Xavier,F.GeorgeD","2"
"Bodo,Enrico","2"
"Adoui,Lamri","2"
"Krishnamurthy,Manchikanti","2"
"Mahapatra,Susanta","2"
"Mishra,BrijeshKumarUmar","2"
"Dubois,AlainB.","2"
"Frémont,François","2"
"Bahel,Atul","2"
"Famulari,Antonino","2"
"Pathak,ShashiK.","2"
"Cooper,DavidL.","2"
"Balasubramanian,Vadivelu","2"
"Buonomo,Erasmo","2"
"George,FountosDX","2"
"Schneider,FriedemannW.","2"
"Cassimi,Amine","2"
"Tarisien,Medhi","2"
"Chesnel,JeanYves","2"
"Gerratt,Joseph","1"
"Zhang,Hualin","1"
"Ramaswamy,Ramakrishna","1"
"Lelièvre,D.","1"
"DhilipKumar,T.J.","1"
"Brems,Vincent","1"
"Köppel,Horst","1"
"Mohan,ManjuRamachnadra","1"
"Vetter,Reinhard","1"
"Bhalla,KailashC.","1"
"Anusuri,Bhargava","1"
"Nestmann,BerndM.","1"
"Gervais,Benoît","1"
"Rangama,Jimmy","1"
"Kapoor,Hemant","1"
"Dora,Amar","1"
"George,DonXF","1"
"Clarke,NickJ.","1"
"Zülicke,Lutz","1"
"Sobocinsky,P.","1"
"Guillaume,L.","1"
"Ritschel,Thomas","1"
"Saheer,V.C.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
