Scopus - Analyze author output

"Author name:","Mondal, Kartik Chandra"
"Scopus author ID:","55566433900"

"Co-authors:","106"

"Co-author","Co-authored documents"

"Roesky,HerbertW.","31"
"Dittrich,Birger","15"
"Stalke,Dietmar","13"
"Samuel,PrinsonP.","13"
"Herbst-Irmer,Régine","12"
"Frenking,Gernot","11"
"Mukherjee,ParthaSarathiArathi","9"
"Niepötter,Benedikt","8"
"Koley,Debasis","8"
"Roy,Sudipta","8"
"Kostakis,GeorgeE.","7"
"Powell,AnnieKatherine","7"
"Anson,ChristopherE.","6"
"Kaim,Wolfgang","6"
"Li,Yan","6"
"Andrada,DiegoMarcelo","5"
"Ungur,Liviu","5"
"Stückl,AndreaClaudia","5"
"Maity,Bholanath","5"
"Lan,Yanhua","5"
"Zhu,Hongping","5"
"Chibotaru,LiviuF.","5"
"Carl,Elena","4"
"Demeshko,SerhiyV.","4"
"Hermann,Markus","4"
"Wolf,Hilke","3"
"AminSk,Nurul","3"
"Meents,Alke","3"
"Parameswaran,Pattiyil","3"
"Ehret,Fabian","3"
"Sidhu,NavdeepS.","3"
"Schwederski,BrigitteE.","3"
"Stollberg,Peter","3"
"Meyer,Jann","3"
"Sengupta,Oindrila","3"
"Singh,AmitPratap","3"
"Mondal,TotanK.","2"
"Köhler,Christian","2"
"Gole,Bappaditya","2"
"Dalal,NareshS.","2"
"Holzmann,Nicole","2"
"Lübben,Jens","2"
"Waldmann,Oliver","2"
"Christian,JonathanH.","2"
"Meyer,Franc","2"
"Kratzert,Daniel","2"
"Majeed,Zeeshan","2"
"De,Susmita","2"
"Jerabek,Paul","2"
"Pröpper,Kevin","2"
"Schwarzer,MartinC.","2"
"Roy,Sudipta","1"
"Orben,ClaudiaManuela","1"
"West,RobertB.","1"
"Linser,Rasmus","1"
"Samedov,Kerim","1"
"Bertrand,GuyHV","1"
"Nayak,SusantaKumar","1"
"Aysin,RinatR.","1"
"Sheldrick,GeorgeM.","1"
"Liu,Rui","1"
"Nethaji,Munirathinam","1"
"Panneerselvam,Saravanan","1"
"Wernsdorfer,Wolfgang","1"
"Chandrasena,Lalangi","1"
"Drieß,Matthias","1"
"Ruan,Wenqing","1"
"Sundt,Alexander","1"
"Krause,Lennard","1"
"Neufeld,Roman","1"
"Song,You","1"
"Wang,Jinjin","1"
"Mozafari,Mina","1"
"Melaïmi,MohandA.","1"
"Brodovitch,JeanClaude","1"
"Turner,DavidR.","1"
"Fliegl,Heike","1"
"Wandtke,ClaudiaM.","1"
"Seehra,MohindarSingh","1"
"Purushothaman,Indu","1"
"Batten,StuartR.","1"
"Song,You","1"
"Xiang,Shengqi","1"
"Tretiakov,Mykyta","1"
"Lan,Yanhua","1"
"Junold,Konstantin","1"
"Neudeck,Sven","1"
"Wang,Wenyuan","1"
"Mereacre,ValeriuM.","1"
"Drew,MichaelGB","1"
"Tkach,IgorA.","1"
"Ramachandran,Vasanth","1"
"VanTol,Johan","1"
"Keil,Helena","1"
"Kobelt,Claudia","1"
"Ackermann,Lutz","1"
"Mohapatra,Chandrajeet","1"
"Percival,PaulW.","1"
"Dutta,PrasantaK.","1"
"Weinberger,DavidS.","1"
"Tacke,Reinhold","1"
"Leites,LarissaA.","1"
"Vasa,SureshKumar","1"
"Prisecaru,Ion","1"
"Dutta,Sayan","1"
"Azhakar,Ramachandran","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
