Scopus - Analyze author output

"Author name:","Murthy, Narasimha Narasimha"
"Scopus author ID:","7102861814"

"Co-authors:","66"

"Co-author","Co-authored documents"

"Karlín,KennethD.","31"
"Wei,Ning","7"
"Varghese,Babu","6"
"Lee,Dongheon","6"
"Fox,StephenP.","5"
"Siluvai,GnanaSutha","5"
"Nanthakumar,Alaganandan","5"
"Tyeklár,Zoltán","5"
"Blackburn,NinianJ.","5"
"Sabiah,Shahulhameed","4"
"Zubieta,Jon","4"
"Zuberbühler,AndreasD.","3"
"Obias,HonorioV.","3"
"Mahroof-Tahir,MohammadMahroof","3"
"Rokita,StevenE.","3"
"Yap,Glenn","2"
"Chen,Qin","2"
"Vargheese,Babu","2"
"Telser,Joshua","2"
"Jung,Bernhard","2"
"Huynh,BoiHanh","2"
"Kaderli,Susan","2"
"Zakharov,LevN.","2"
"Rheingold,ArnoldL.","2"
"Jacobson,RichardR.","2"
"Day,EdmundP.","2"
"Orosz,RobertD.","2"
"Lin,Yin","2"
"Ravi,Natarajan","2"
"Martens,ConstantinusF.","2"
"Posner,GaryH.","1"
"Schindler,Siegfried","1"
"Becker,MichaelJ.","1"
"Sarjeant,AmyAlexisNarducci","1"
"Solomon,EdwardI.","1"
"Luchinat,Claudio","1"
"Li,Lei","1"
"Sun,HelenHJ","1"
"Reedy,BrianJ.","1"
"Neuhold,Bobby","1"
"Ralle,Martina","1"
"Li,Lei","1"
"SarwarNasir,N.","1"
"Dai,Haiyan","1"
"Lectka,Thomas","1"
"Thaler,Florian","1"
"Sanyal,Indrajit","1"
"Guyton,KathrynZ.","1"
"Cox,ChristopherD.","1"
"Hagen,KarlS.","1"
"Schatz,Markus","1"
"Wei,Ning","1"
"Shaikh,ShahidN.","1"
"Corsi,DanieleM.","1"
"Chaudhuri,UrmilaPal","1"
"Thyagarajan,Sunita","1"
"Rhames,FrancisC.","1"
"Ghosh,PhalguniR.","1"
"Bertini,Ivano","1"
"Hampel,FrankA.","1"
"Ferraris,DanaV.","1"
"Afarinkia,Kamyar","1"
"Frey,StevenT.","1"
"Young,Victor","1"
"Kensler,ThomasWells","1"
"Pidcock,Elna","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
