Scopus - Analyze author output

"Author name:","Pradeep, Thalappil P."
"Scopus author ID:","7006641708"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Sreeprasad,TheruvakkattilSreenivasan","22"
"Chakraborty,Indranath","21"
"Bootharaju,MegalamaneSiddaramappa","19"
"Baksi,Ananya","19"
"Sajanlal,PanikkanvalappilRavindranathan","18"
"Sandhyarani,Neelakantapillai","17"
"Nair,AppukuttanSreekumaran","15"
"Udayabhaskararao,Thumu","15"
"Maliyekkal,ShihabudheenMundampra","14"
"Chaudhari,Kamalesh","14"
"Samal,AkshayaKumar","14"
"Das,SaritK.","14"
"Cooks,RGGraham","13"
"Pal,SamirKumarUmar","12"
"Xavier,PaulrajpillaiLourduOurdu","12"
"Tom,RenjisT.","11"
"Cooks,RobertGraham","11"
"Shibu,EdakkattuparambilSidharth","11"
"Anshup","11"
"Cyriac,Jobin","11"
"Bag,Soumabha","11"
"Sarkar,Depanjan","10"
"Som,Anirban","9"
"Srimany,Amitava","9"
"Ghosh,Atanu","9"
"Goswami,Nirmal","8"
"SenGupta,Soujit","8"
"Kumar,VattakattuRRajeev","8"
"Venkataramanan,M.","8"
"Subramaniam,Chandramouli","8"
"Mathew,Ammu","7"
"Mukhopadhyay,Ramaprosad","7"
"Natarajan,Ganapati","7"
"Mitra,Subhankur","7"
"Bhuin,RadhaGobinda","7"
"Resmi,M.R.","7"
"Ast,Teodor","7"
"Mohanty,JyotiSarita","6"
"Rosemary,MathirappillilJ.","6"
"Krishnadas,KumaranchiraR.","6"
"Philip,Reji","6"
"Chakrabarti,Jaydeb","6"
"Suryanarayanan,V.","6"
"Waghmare,UmeshVasudeo","5"
"IanANMacLaren,Ian","5"
"John,Robin","5"
"Lisha,KinattukaraParambil","5"
"Shen,Jianwei","5"
"Sundararajan,Thirumalachari","5"
"Gupta,SoujitSenEn","5"
"Feng,Bingbing","5"
"Ma,Shuguang","5"
"Bhat,Shridevi","5"
"Patel,HrishikeshE.","5"
"Vijayamohanan,KunjukrishnaPillai","4"
"Naik,HemantaR.","4"
"Selvan,R.","4"
"Giri,Anupam","4"
"Mitra,Anuradha","4"
"Wleklinski,Michael","4"
"Hemalatha,RaniGopalakrishnan","4"
"Häkkinen,Hannu","4"
"Methikkalam,RabinRajanJ","4"
"Kimura,Keisaku","4"
"Murty,K.VGK","4"
"Muhammed,MadathumpadyAbubakerHabeeb","4"
"Narayanan,Rahul","4"
"Bindu,V.","4"
"Johnson,MarkRobert","3"
"Singh,DamandeepMDavidJeba","3"
"Park,Seongchan","3"
"Anija,M.","3"
"Sivaraman,Bhalamurugan","3"
"Miller,ScottA.","3"
"Kang,Heon","3"
"Unnikrishnan,R.","3"
"Lee,Haiwon","3"
"HabeebMuhammed,M.A.","3"
"Landmán,UziZI","3"
"Negishi,Yuichi","3"
"Swathy,JakkaRadvindran","3"
"Verma,PramodKumar","3"
"Balasubramanian,KrishnanK.","3"
"Smitha,K.","3"
"Rao,ThumuUdayaBhaskara","3"
"Ganayee,MohdAzhardin","3"
"Patrick,JeffreyS.","3"
"Thomas,JintoC.","3"
"Vijayan,C.","3"
"Evans,ChristineE.","3"
"Leelavathi,Annamalai","2"
"Koyakutty,Manzoor","2"
"Skanth,G.","2"
"Krishnan,Deepti","2"
"Whetten,RobertL.","2"
"SekharTiwary,Chandra","2"
"Kumar,AvulaAnil","2"
"Autreto,PedroAS","2"
"Ikeda,Susumu","2"
"Jain,PrashantC.","2"
"DavidJebaSingh,D.M.","2"
"BhaskaraRao,ThumuUdaya","2"
"Retnakumari,ArchanaPayickattuAyickattu","2"
"Sugi,Korathshivan","2"
"Berchmans,Sheela","2"
"Sengupta,Soujit","2"
"Tsukushi,Itaru","2"
"Aigal,Sahaja","2"
"Bhat,Vasudeva","2"
"Philip,LigyK.","2"
"Prasad,TollamaduguNagaVenkataKrishnaVara","2"
"Singh,PawanKishore","2"
"Maark,TuhinaAdit","2"
"Chaudhary,Amrita","2"
"Pulkkinen,PetriMS","2"
"Raman,V.Kalyan","2"
"Kabbani,MohamadA.","2"
"Maeng,KyeW.","2"
"Nair,ShantikumarV.","2"
"Prabhath,Anupama","2"
"Rajapaksha,AnushkaUpamali","2"
"Nair,Binoj","2"
"Subramaniam,ChitturKrishnaswamy","2"
"Govindarajan,Anuradha","2"
"Erusappan,Jayanthi","2"
"Krishnakumar,Subramanian","2"
"Kabbani,AhmadToufic","2"
"Francisco,JosephS.","2"
"Deepesh,G.K.","2"
"Singh,KalpanaK.","2"
"Hassinen,Jukka","2"
"Riederer,DonaldE.","2"
"Galvão,DouglasS.","2"
"Choudhury,SusobhanN.","2"
"Özden,Şehmus","2"
"Yegnaraman,V.","2"
"Pugazhenthiran,Nalenthiran","2"
"Jayashree,Balasubramanyam","2"
"Vithanage,MeththikaSuharshini","2"
"Sankar,MohanUdhaya","2"
"Singh,Navinder","2"
"Hackenberg,KenP.","2"
"Chandrakumar,NarayananS.","2"
"Vajtai,Róbert","2"
"Mondal,Biswajit","2"
"Ifa,DemianRocha","2"
"Bandyopadhyay,Krisanu","2"
"Ajayan,PulickelM.","2"
"Chaudhari,Swathi","2"
"Sun,Yan","2"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
