Scopus - Analyze author output

"Author name:","Prasad, Edamana"
"Scopus author ID:","7003456916"

"Co-authors:","51"

"Co-author","Co-authored documents"

"Flowers,,RobertA.","15"
"Rajamalli,Pachaiyappan","7"
"Malakar,Partha","5"
"Kaviya,Somasundaram","5"
"Maity,Sandeepan","4"
"Ghosh,TufanK.","4"
"Lekha,P.K.","3"
"Knettle,BrianW.","3"
"Kavitha,ManniledamK.","3"
"Sadasivam,DhandapaniVenkatram","2"
"Jaseer,Mohamed","2"
"Jasmine,MariaJ.","2"
"Vivek,Balachandran","2"
"SudhadeviAntharjanam,P.K.","2"
"Mandal,Dipendu","2"
"Kumar,PrashantPradeep","2"
"Ghosh,Sundargopal","2"
"Agarwal,Chanchal","2"
"Atta,SupriyaB.","2"
"Gopidas,KaricalR.","2"
"Chopade,PramodR.","2"
"Teprovich,JosephA.","2"
"Lasitha,P.","2"
"Antharjanam,P.KSudhadevi","2"
"Lakshmi,NeelakandanVIdhya","1"
"Krishnan,J.Murali","1"
"Modak,Debadrita","1"
"Hilmersson,Göran","1"
"VidhyaLakshmi,Neelakandan","1"
"Nivitha,M.R.","1"
"Smitha,MohanlalA.","1"
"Pesciotta,EstherN.","1"
"Biswal,BijeshKumar","1"
"MadhuBabu,Thunga","1"
"Satapathy,Sitakanta","1"
"Sheet,ParthaSarathi","1"
"Deshmukh,PranawaC.","1"
"Ragi,K.N.","1"
"Thomas,TijuGlyn","1"
"Choquette,KimberlyA.","1"
"Parida,ManasRanjan","1"
"Chatterjee,Swarupa","1"
"Babu,ThungaMadhu","1"
"Birney,DavidMartin","1"
"Lakshmi,NeelakandanVidhyaN","1"
"Malek,Abdul","1"
"Davis,ToddA.","1"
"Soumya,Sivalingam","1"
"Verma,RamaShanker","1"
"Vijayan,C.","1"
"Dahlén,Anders","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
