Scopus - Analyze author output

"Author name:","Rajakumar, Balla"
"Scopus author ID:","6603401898"

"Co-authors:","33"

"Co-author","Co-authored documents"

"Dash,ManasRanjan","9"
"Ravishankara,AkkihebbalR.","9"
"Ali,MohammadAkbar","6"
"Burkholder,JamesB.","6"
"Balaganesh,M.","5"
"Arunan,Elangannan","5"
"McCabe,DavidC.","5"
"Srinivasulu,Gannoju","4"
"Gierczak,Tomasz","4"
"Flad,JonathanE.","4"
"Smith,IanWM","3"
"Parandaman,A.","3"
"Reddy,KalidevapuraPolareddyJagannatha","3"
"Talukdar,RanajitK.","2"
"Upendra,B.","2"
"Portmann,RobertW.","2"
"Kaliginedi,Veerabhadrarao","2"
"Vijayakumar,SubramaniamT.","2"
"Mandal,Sudip","1"
"Kothandaraman,Ramanujam","1"
"Kushwaha,SumanK.","1"
"Sudhakar,G.Rama","1"
"Marshall,Paul","1"
"Walavalkar,MohiniP.","1"
"Anandraj,D.","1"
"Sharma,AsmitaK.","1"
"LakshmiPrasanna,D.S.","1"
"Aidhen,IndrapalSingh","1"
"Siripina,VijayaK.","1"
"Ramanjaneyulu,C.","1"
"Mukkamala,Ramesh","1"
"Singh,MamataKiran","1"
"Dhanya,Suresh","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
