Scopus - Analyze author output

"Author name:","Rao, M. Narayana Sudheendra"
"Scopus author ID:","7404630580"

"Co-authors:","44"

"Co-author","Co-authored documents"

"Varghese,Babu","7"
"Chivers,Tristram","6"
"Murthy,G.Sreenivasa","6"
"Richardson,JohnF.","5"
"Thomas,ColacotJ.","5"
"Doddi,Adinarayana","5"
"Mohan,ThyagarajanP.","5"
"Srinivas,Janaswamy","4"
"Janaswamy,Srinivas","4"
"Swarnalatha,Ulaganathan","3"
"Gopalakrishnan,Janarthanan","3"
"Luiz,T.Arun","3"
"Elias,AnilJacob","3"
"Udupa,MRRamakrishna","3"
"Passmore,Jack","2"
"Kingston,JesudossV.","2"
"Gopalakrishnan,Jagannatha","2"
"Ramkumar,Venkatachalam","2"
"Suvitha,A.","2"
"Sivaramakrishna,Akella","2"
"Hojo,Masashi","2"
"Ilavarasi,R.","2"
"Srimannarayana,Gotety","2"
"Hussain,L.Altaf","1"
"Krupadanam,GazaulaDavidDavid","1"
"Ueda,Tadaharu","1"
"MacLean,GregoryK.","1"
"VanDeGrampel,JohanC.","1"
"Suzuki,Mika","1"
"Kennett,FrancesA.","1"
"ArunLuiz,T.","1"
"Rao,M.V.","1"
"Inoue,Tomonori","1"
"Venkatachalam,ChittoorSivaramakrishnan","1"
"Krupadanam,L.D.","1"
"Viswanathan,Balasubramanian","1"
"Aravamudan,Gopalaswamiengar","1"
"Senthivel,Paramasivam","1"
"Sambaiah,Thota","1"
"Meetsma,AukeM.","1"
"Bindu,PanampillyJ.","1"
"Burford,NeilBurford","1"
"Srinivasamurthy,G.","1"
"Sundararajan,Govindarajan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
