Scopus - Analyze author output

"Author name:","Sangaranarayanan, M. V."
"Scopus author ID:","7004293278"

"Co-authors:","39"

"Co-author","Co-authored documents"

"Harinipriya,Seshadri","20"
"Rangarajan,SarrikhaiK.","10"
"Sudha,Velu","10"
"Prasad,MeherArun","9"
"Muthukrishnan,Azhagumuthu","7"
"Girija,T.C.","7"
"Denny,RichardAldrin","7"
"Rajendran,Lakshmanan","6"
"ArunPrasad,M.","6"
"Sivasubramanian,R.","6"
"Saradha,Ramamurthy","5"
"Mondal,Subrata","5"
"Ramya,RaviS.","4"
"Nandhini,G.","3"
"Divya,V.","3"
"Boyarskiy,VadimP.","3"
"Pushpalatha,K.","3"
"Boyarskaya,IrinaA.","3"
"Umamaheswari,J.","2"
"Varghese,Babu","2"
"Aravindan,N.","2"
"Das,Ashis","2"
"Basha,ChiyaAhmed","2"
"Saravanakumar,K.","1"
"Rasi,Muthuramalingam","1"
"Bhanja,Piyali","1"
"Wang,Mingpu","1"
"Kanagaraj,Moorthi","1"
"Khaibulova,TatyanaSh","1"
"Vinothkumar,M.","1"
"Satpati,B.","1"
"Senapati,Dulal","1"
"Mohan,L.Srinivasa","1"
"Sebastian,KLL.","1"
"Mandal,Debranjan","1"
"Qi,Weihong","1"
"Sethi,Richa","1"
"Phani,KanalaLakshminarasimhaNarasimha","1"
"SilpajaChandrasekar,K.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
