Scopus - Analyze author output

"Author name:","Sankararaman, Sethuraman"
"Scopus author ID:","6701474274"

"Co-authors:","55"

"Co-author","Co-authored documents"

"Varghese,Babu","13"
"Kochi,JayK.","12"
"Ramkumar,Venkatachalam","10"
"Hopf,Henning","9"
"Dix,Ina","6"
"Srinivasan,ManivannanA.","5"
"Bandyopadhyay,Arkasish","5"
"Saravanakumar,Rajendran","4"
"Sureshbabu,Bemineni","4"
"Venkataramana,Gandikota","4"
"Jones,PeterGeorge","4"
"Ramkumar,Dhruva","3"
"GeethaSaraswathy,V.","3"
"Nandy,Ritesh","3"
"Mishra,AshokKumar","3"
"Sudha,RajagopalanHelan","3"
"Mathew,Lizamma","2"
"Mohan,Arumugam","2"
"Haney,WilliamA.","2"
"Karthikeyan,Thandavamurthy","2"
"Haldar,Sourav","2"
"Dasgupta,Ayan","2"
"Jones.,PeterGeorge","2"
"Perrier,Serge","2"
"Subuddhi,Usharani","2"
"Narayanan,Vijay","2"
"Venkatachalam,Ramkumar","1"
"Masnovi,JohnM.","1"
"Kochi,JayK.","1"
"MalolaNarasimhan,K.","1"
"Ghosh,Keshab","1"
"Sridevi,Venkatachalam","1"
"Lau,WANF.","1"
"Takahashi,Yasutake","1"
"Karpiński,ZbigniewJ.","1"
"Subramoni,Mahadevan","1"
"Ncsakumar,J.E.","1"
"Yabe,Takashi","1"
"Bockman,T.Michael","1"
"Licht,AndreaI.","1"
"Danielraj,Paulraj","1"
"Fischer,Alfred","1"
"Chandrasekhar,Jayaraman","1"
"Ramaswamy,RenganathanC.","1"
"SHAIK,JEELANIBASHA","1"
"Alt,HelmutGuido","1"
"Nesakumar,J.Edward","1"
"Kiliçkiran,Pinar","1"
"Chandrasekhar,Attoor","1"
"Shyamala,Thirunavukkuarasu","1"
"Joseph,Antony","1"
"Kalpana,Mahadevan","1"
"Jagadeesh,MavinahalliN.","1"
"Guchhait,Sandip","1"
"Saraswathy,VijayaGeetha","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
