Scopus - Analyze author output

"Author name:","Sekar, Govindasamy"
"Scopus author ID:","6602184820"

"Co-authors:","49"

"Co-author","Co-authored documents"

"Prasad,D.J.C.","10"
"Naidu,AjayB.","10"
"Jaseer,E.A.","9"
"Kotha,SuryaSrinivas","9"
"Singh,VinodKumar","8"
"Alamsetti,SantoshKumar","7"
"Ganapathy,Dhandapani","7"
"Muthupandi,Pandi","7"
"Sharma,Nidhi","6"
"Thakur,KrishnaGopal","6"
"Mannam,Sreedevi","6"
"Mamillapalli,N.Chary","5"
"Karthikeyan,Iyyanar","5"
"Badigenchala,Sindhura","3"
"Chandrasekar,Selvaraj","3"
"Rajeshkumar,Venkatachalam","3"
"Dandapat,Arpan","3"
"Rao,R.Koteshwar","3"
"Singh,RahulS.","2"
"Nishiyama,Hisao","2"
"Savitha,Gurunathan","2"
"DattaGupta,Arpita","2"
"KoteshwarRao,R.","2"
"Saha,Rajib","2"
"Arunprasath,Dhanarajan","2"
"Lahiri,Nabajit","1"
"Tietze,LutzFriedjan","1"
"Chiranjeevi,Korupalli","1"
"Rackelmann,Nils","1"
"Muthukumar,Alagesan","1"
"Kumar,GovindharajSaravana","1"
"Chandrasekhar,MustiJN","1"
"Mutupandi,Pandi","1"
"Sahu,Samrat","1"
"Srinivas,KothaSurya","1"
"BhanuPrasad,B.A.","1"
"Kamble,RajeshM.","1"
"Kumar,SreehariS.","1"
"Raghunath,O.R.","1"
"Guha,Somraj","1"
"Das,AnkitaK.","1"
"Gupta,ArpitaDatta","1"
"Muneeswara,Madithedu","1"
"Poonguzhali,Elamvazhuthi","1"
"Korupalli,Chiranjeevi","1"
"Sangeetha,Subramani","1"
"SrinivasKotha,Surya","1"
"Dutta,Sayan","1"
"Bala,BalasubramanianDevi","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
