Scopus - Analyze author output

"Author name:","Venkatakrishnan, Parthasarathy"
"Scopus author ID:","15046041100"

"Co-authors:","21"

"Co-author","Co-authored documents"

"Moorthy,JaruguNarasimha","16"
"Chow,TahsinJ.","5"
"Venugopalan,Paloth","4"
"Natarajan,Palani","4"
"Mal,Prasenjit","3"
"Samanta,Subhas","3"
"Huang,Duofong","3"
"Savitha,Govardhan","2"
"Lin,Zhenghuan","2"
"Weiss,RichardG.","2"
"Singhal,Nidhi","2"
"Baidya,Mahiuddin","1"
"Mandal,Susovan","1"
"Singh,AshutoshS.","1"
"Ramakrishna,Jagarapu","1"
"Malik,Ravish","1"
"Sengupta,Sanchita","1"
"NarasimhaMoorthy,Jarugu","1"
"Bajpai,Alankriti","1"
"Kumar,DheerajKrishnaAndrewPrasanna","1"
"Dixit,Seema","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
