Scopus - Analyze author output

"Author name:","Vijay, Amrendra R."
"Scopus author ID:","55880837100"

"Co-authors:","19"

"Co-author","Co-authored documents"

"Sathyanarayana,DixitN.","10"
"Kouri,DonaldJ.","4"
"Meţiu,HoriaI.","3"
"Chakraborty,Subrata","3"
"Mills,GregL.","2"
"Renuka,Maturi","2"
"Wyatt,RóbertE.","2"
"Billing,GertDue","2"
"Hoffman,DavidK.","2"
"Chandra,AsishKumar","1"
"Huffman,DavidK.","1"
"Mandelshtam,VladimirA.","1"
"Verma,T.S.","1"
"Mahakrishnan,Sathiya","1"
"Chowdari,BobbaVR","1"
"Rao,VallurupalliSreedharaR","1"
"Tan,K.L.","1"
"Gopalakrishnan,R.","1"
"Carrington,Tucker","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
