Scopus - Analyze author output

"Author name:","Ananthanarayanan, Kuppuswamy"
"Scopus author ID:","6603249177"

"Co-authors:","11"

"Co-author","Co-authored documents"

"Kanagasabapathi,Balasubramanian","4"
"Varghese,KoshyC.","2"
"Rajendran,Chandrasekharan","2"
"Thomas,AnuV.","2"
"Venkatesan,R.","1"
"Nathan,KrishnaSenthil","1"
"Kalidindi,SatyanarayanaN.","1"
"Abhilash,P.J.","1"
"Satyanarayana,KalidindiNV","1"
"Kumar,KavinManoj","1"
"Devi,AnuradhaCindrela","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
