Scopus - Analyze author output

"Author name:","Dodagoudar, Goudappa R."
"Scopus author ID:","6506512406"

"Co-authors:","34"

"Co-author","Co-authored documents"

"Boominathan,A.","13"
"Ramanna,ChethanambaKempanna","7"
"Kumar,RachakondaPraveen","7"
"Jaya,V.","5"
"Rajagopal.,KarthikeyanA.","3"
"PraveenKumar,R.","3"
"Maheswari,R.Uma","3"
"Rao,B.N.","3"
"Sayed,SajnaRM","2"
"Kuriakose,Bennet","2"
"Venkatachalam,Gopalakrishnan","2"
"Sunitha,N.V.","2"
"Rao,B.N.","2"
"Maji,VidyaBhushan","1"
"Suganthi,A.","1"
"Ragunathan,P.","1"
"Kumar,G.Kalyan","1"
"NageswaraRao,Boggarapu","1"
"Venkatachalapathy,V.","1"
"Sreedhar,U.","1"
"Shyamala,B.","1"
"Venkatachalam,G.","1"
"Antony,B.","1"
"Krishnan,Anju","1"
"UmaMaheswari,R.","1"
"Menon,Devdas","1"
"Sujith,M.S.","1"
"Sayed,ShabbirAS","1"
"Nagesha,M.S.","1"
"Chandrasekaran,S.","1"
"Chandrasekaran,SrinivasanS.","1"
"Chandrasekaran,S.S.","1"
"Chandrasekaran,S.S.","1"
"KarthigaDevi,S.G.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
