Scopus - Analyze author output

"Author name:","Goswami, Rupen"
"Scopus author ID:","8696600900"

"Co-authors:","16"

"Co-author","Co-authored documents"

"Murty,ChandraVR","12"
"Sunitha,P.","3"
"BalajiRao,K.","2"
"Dasgupta,KaustubhK.","2"
"Balasubramanian,ShantharamR.","2"
"Arlekar,JaswantN.","2"
"Maheswari,D.","1"
"Anoop,MadambikattilBharathan","1"
"Kasar,ArnavAnuj","1"
"Cynthia,A.","1"
"Majeed,AyshaZ.","1"
"Bharti,S.D.","1"
"Sivakumar,P.","1"
"Prasad,A.Meher","1"
"Shrimali,M.K.","1"
"MeherPrasad,Anumolu","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
