Scopus - Analyze author output

"Author name:","Gunthe, Sachin S."
"Scopus author ID:","16549600900"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Pöschl,Ulrich","21"
"Andreae,MeinratO.","18"
"Rose,Diana","13"
"Su,Hang","11"
"Wiedensohler,Alfred","10"
"Martin,ScotT.","8"
"Cheng,Yafang","7"
"Sahu,L.K.","7"
"Artaxo,Paulo","7"
"Hu,Min","6"
"Nowak,Andreas","6"
"Achtert,Peggy","6"
"Takegawa,Nobuyuki","6"
"Kondo,Yutaka","6"
"Garland,RebeccaM.","5"
"Pöhlker,Christopher","5"
"Chen,Qi","5"
"Farmer,DelphineK.","4"
"Huffman,JasonAlex","4"
"Shao,Min","4"
"Sheel,Varun","4"
"Ravikrishna,RaghunathanV.","4"
"Jiménez,JoséLuis","4"
"Berghof,M.IA","4"
"Wehner,Birgit","4"
"Zhu,Tong","4"
"Schneider,JohannesK.","3"
"Pauliquevis,TheotônioM.","3"
"Swietlicki,Erik","3"
"Kajino,Mizuo","3"
"Després,VivianeR.","3"
"Zorn,SoerenR.","3"
"Smit,HermanGJ","3"
"Petters,MarkusDirk","3"
"Borrmann,Stephan","3"
"Thouret,Valérie","3"
"Prenni,AnthonyJ.","3"
"Manzi,AntônioOcimar","3"
"Shiraiwa,Manabu","3"
"Zhang,Yuanghang","3"
"Mikhailov,EugeneF.","3"
"Sinha,Bärbel","3"
"Valsan,AswathyE.","3"
"Baars,Holger","2"
"Smith,JamesNicholasB","2"
"Wang,Jun","2"
"Kita,Kazuyuki","2"
"Ansari,TabishU.","2"
"Rizzo,LucianaV.","2"
"Frank,G.P.","2"
"Yadav,Ravi","2"
"Tóta,Júlio","2"
"Sinha,PunaRam","2"
"Longo,KarlaMaria","2"
"Guenther,AlexB.","2"
"Müller,ThomasJ.","2"
"Gong,Youguo","2"
"Biju,C.V.","2"
"Kumar,AshwiniJ.","2"
"King,Stephanie","2"
"Ojha,NarendraN.","2"
"Elbert,Wolfgang","2"
"Beig,Gufran","2"
"Helas,Günter","2"
"Althausen,Dietrich","2"
"Roldin,Pontus","2"
"Nédéléc,Philippe","2"
"Karl,Thomas","2"
"Deushi,Makoto","2"
"Suman,MaheshNS","1"
"Lihavainen,Heikki","1"
"DeAngelis,IsabellaHrabe","1"
"Maßling,Andreas","1"
"Priyamvada,Hema","1"
"Pandey,Kumud","1"
"Kortelainen,AkiMatti","1"
"Kuwata,Mikinori","1"
"Jaatinen,Antti","1"
"McFiggans,GordonB.","1"
"Morán-Zuloaga,Daniel","1"
"Balaji,C.","1"
"Jadhav,DattatryaB.","1"
"Sudheer,K.P.","1"
"VanDerVeen,CarinaJ.","1"
"Sierau,Berko","1"
"Burrows,SusannahM.","1"
"Shika,S.","1"
"Wolff,Stefan","1"
"Klimach,Thomas","1"
"Sauvage,Bastien","1"
"Weigand,Markus","1"
"Yang,H.","1"
"Carbone,Samara","1"
"Saxena,Pallavi","1"
"Paramonov,Mikhail","1"
"Brito,JoelF.","1"
"Ditas,Florian","1"
"Nenes,Athanasios","1"
"Kulmala,Markku","1"
"Stock,Maria","1"
"Gysel,Martin","1"
"Wittbom,C.","1"
"Lavrič,JoštV.","1"
"Lang-Yona,Naama","1"
"Pöhlker,MiraL.","1"
"Narasimhan,Balaji","1"
"Thines,Eckhard","1"
"Dusek,Ulrike","1"
"Araújo,AlessandroC.","1"
"Lou,Shengrong","1"
"Thomas,T.","1"
"Kanawade,VijayP.","1"
"Hofeumahaus,A.","1"
"King,S.M.","1"
"Pal,Devendra","1"
"Weber,Bettina","1"
"Wollny,AdamG.","1"
"Hao,L.Q.","1"
"Greule,Markus","1"
"Chandrasekar,RamalingamK.","1"
"GómezÁlvarez,CatalinaX.","1"
"Bougiatioti,Aikaterini","1"
"Kristensson,Adam","1"
"Zhu,Tong","1"
"Keppler,Frank","1"
"Philip,Ligy","1"
"Kampf,ChristopherJ.","1"
"Wahner,Andreás","1"
"Lohmann,Ulrike","1"
"Ditz,Reiner","1"
"Könemann,Tobias","1"
"Verma,RamaShankar","1"
"Kilcoyne,ArthurLDavid","1"
"Fröhlich-Nowoisky,Janine","1"
"Asmi,Eija","1"
"Irwin,Martin","1"
"Reutter,Philipp","1"
"Thalman,RyanM.","1"
"Singh,NarendraBahadur","1"
"Walter,David","1"
"Wang,Jian","1"
"Saturno,Jorge","1"
"Kerminen,VeliMatti","1"
"Snee-Pollmann,A.","1"
"Ghosh,NarayanChandra","1"
"Trentmann,Jörg","1"
"Yu,Huan","1"
"Jurányi,Zsófia","1"
"Smith,MackenzieL.","1"
"Good,N.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
