Scopus - Analyze author output

"Author name:","Jayachandran, S. Arul"
"Scopus author ID:","7004392114"

"Co-authors:","13"

"Co-author","Co-authored documents"

"Narayanan,RangachariS.","3"
"Sivakumar,Pothiraj","2"
"Senthil,Ramalingam","2"
"Ramalingam,Raghavan","2"
"Lakshmikandhan,K.N.","2"
"Seetharaman,Swarnamani","2"
"Kalyanaraman,Venkatakrishnan","2"
"Ravichandran,RamprasadV.","2"
"Vaidyanathan,C.V.","2"
"Gopalakrishnan,SankaraHari","1"
"Abraham,Susan","1"
"Soundararajan,A.","1"
"Knight,GregMSamuel","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
