Scopus - Analyze author output

"Author name:","Meher Prasad, Anumolu"
"Scopus author ID:","6506121597"

"Co-authors:","34"

"Co-author","Co-authored documents"

"Rao,B.N.","5"
"Chowdhury,Rajib","4"
"RamaRaju,K.","4"
"Muthumani,K.","4"
"Gopalakrishnan,Nandu","3"
"Menon,Devdas","3"
"Iyer,NageshR.","3"
"Lakshmanan,Nachammai","3"
"MadhavanPillai,T.M.","2"
"Sengupta,AmlanKumar","2"
"Biswal,Aparup","2"
"Sreekala,R.","2"
"Rajasankar,J.","1"
"Sundaravadivelu,Ranganathan","1"
"Janardhana,Maganti","1"
"Anoop,MadambikattilBharathan","1"
"Ramesh,M.","1"
"Amuthasheela,R.","1"
"Jagadish,D.R.","1"
"BalajiRao,K.","1"
"Jayalekshmi,B.R.","1"
"AbdulMalik,S.","1"
"Krishnamoorthy,C.S.","1"
"Balasubramanian,ShantharamR.","1"
"Jaya,KrishnanPrabhakan","1"
"SatishKumar,S.R.","1"
"RamachandraMurthy,D.S.","1"
"PrasadVarmaThampan,C.K.","1"
"Uma,SreekumarR.","1"
"Goswami,Rupen","1"
"Gandhi,PravinrayD.","1"
"AnithaPriyadharshani,Subramanian","1"
"Mukherjee,Debashis","1"
"Sathishkumar,K.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
