Scopus - Analyze author output

"Author name:","Murty, Budaraju Srinivasa"
"Scopus author ID:","35551753500"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Pabi,ShyamalKumar","29"
"Chakraborty,Madhusudhan","27"
"Bhatt,JatinK.","27"
"SubramanyaSarma,Vadlamani","25"
"Mondal,Kallol","16"
"Hono,Kazuhiro","15"
"Bhaduri,ArunKumar","14"
"Kumar,Sundaram","13"
"Albert,ShajuKattukaram","13"
"Das,ChittaRanjan","13"
"Ranganathan,Srinivasa","13"
"Chakraborty,Madhusudan","12"
"Mudinepalli,VenkataRamana","11"
"PrasadaRao,A.KPrasada","11"
"Vincent,SergeW.","10"
"Ravi,K.R.","10"
"Heilmaier,Martin","9"
"Udhayabanu,V.","9"
"Murthy,VemuriRamaKrishna","9"
"Kottada,RaviSankar","9"
"Chatterjee,UtpalK.","8"
"Parashar,Sandeep","8"
"Mandal,Animesh","8"
"Banhart,John","8"
"Ping,Dehai","8"
"Joardar,J.","8"
"Srinivas,Veeturi","7"
"Das,KarabiG.","7"
"Inoue,Akihisa","7"
"Barua,Pranabesh","7"
"SivaKumar,KoppalaV.","7"
"Gandhi,AshutoshS.","7"
"Bakshi,SrinivasaRao","7"
"Sreenivasulu,Gollapudi","6"
"Song,Shenhua","6"
"Prakash,T.","6"
"Susila,P.","6"
"Srivastav,AjeetK.","6"
"Nayak,SuryakantaS.","6"
"Kori,Shivaputrappaamarappa","6"
"Choudhary,RamNareshPrasad","6"
"Kamaraj,Malmurugan","6"
"Shanmugasundaram,Thangaraju","6"
"VinodKumar,GoarkeSanjeeviah","5"
"Praveen,S.","5"
"Singh,SheelaS.","5"
"Mondal,RajibA.","5"
"Datta,MoniKanchan","5"
"Mukhopadhyay,NilayKrishna","5"
"PrasadRao,K.","5"
"Prashanth,K.G.","5"
"RamamanoharReddy,N.","5"
"Swaminathan,Jaganathan","5"
"Ramasamy,SinnaNadar","5"
"Basu,JoysuryaK.","4"
"Ravindran,Comondore(Ravi)","4"
"Chawake,Niraj","4"
"Venkateswarlu,Karodi","4"
"Babcsán,Norbert","4"
"Dey,GautamKumar","4"
"Kumar,GirishSatheshVinod","4"
"Varalakshmi,S.","4"
"Scudino,Sergio","4"
"Wanderka,Nelia","4"
"Kim,DoHyang","4"
"ArjunaRao,A.","4"
"Sankaran,SundaramP.","4"
"Rao,Kalvalaprasad","4"
"Rao,MohanMohan","4"
"Godkhindi,MahadevMalhar","4"
"Murugan,Karuppiah","4"
"Nayak,SashankS.","4"
"Krishnarao,RaghavarapuVenkata","4"
"Nandam,SreeHarsha","4"
"Das,SwapanKumar","3"
"Das,Nitesh","3"
"VenkataRamana,M.","3"
"Leng,Feng","3"
"Chattopadhyay,ArunK.","3"
"Surekha,Krishnan","3"
"Pramod,S.L.","3"
"Lin,Wenchin","3"
"HariKumar,K.C.","3"
"Reddy,NagireddyRamamanohar","3"
"Sturm,Daniel","3"
"Reddy,M.Penchal","3"
"Anupam,Ameey","3"
"Kharat,D.K.","3"
"Rajan,Karthikeyan","3"
"Eckert,Jürgen","3"
"MohanRao,M.","3"
"Rao,Tatanarasinga","3"
"Karthiselva,N.S.","3"
"Venugopal,Thangavel","3"
"RoopasKiran,S.","3"
"Li,Junqin","3"
"Bhattacharjee,Debashish","3"
"Ramana,MaramVenkata","3"
"Murthy,V.RK","3"
"Balasubramanian,MahalingamSN","3"
"Divya,Murthy","3"
"Lin,Wenchin","3"
"Idury,K.SNSatish","3"
"RamakrishnaRao,B.","3"
"Kumar,HarmeshKumar","3"
"Reddy,N.S.","2"
"Dhindaw,BrijKumar","2"
"Dev,SelviC.","2"
"Sahoo,K.L.","2"
"Ang,AndrewSiaoMing","2"
"Subramanian,RamanathanBV","2"
"Takeuchi,A.","2"
"Kashyap,Sanjay","2"
"Saravanan,M.SSenthil","2"
"Gupta,R.K.","2"
"Charbhai,Nikhil","2"
"Peshwe,DilipRamkrishna","2"
"ArvindhaBabu,Diraviam","2"
"Reddy,GankidiMadhusudhan","2"
"Chattopadhyay,Kamanio","2"
"Haldar,Arunansu","2"
"Sivaprasad,K.R.","2"
"Majumdar,Bhaskar","2"
"Mohanty,BhaskarChandra","2"
"Lombardi,Anthony","2"
"Kasiviswanathan,Subbiah","2"
"Markandeyulu,G.M.","2"
"Vaidya,Mayur","2"
"Ratke,Lorenz","2"
"Elsayed,AbdallahA.","2"
"Surreddi,KumarBabu","2"
"Prasad,Kamlesh","2"
"SatishIdury,K.SN","2"
"Prabhakar,PranavKumar","2"
"Kulkarni,UlhasDigambar","2"
"Ray,PravatKumar","2"
"Manna,Indranil","2"
"Mukunda,PudukottaGopalIyengar","2"
"Dong,Chuang","2"
"Srinivas,M.","2"
"Song,Shenhua","2"
"Doble,Mukesh","2"
"Berndt,ChristopherC.","2"
"Chattopadhyay,Chinmoy","2"
"Sriharitha,R.","2"
"Murthy,GudimellaVS","2"
"D'Elia,Francesco","2"
"Chelvane,JeyaramaneArout","2"
"Sesso,MitchellL.","2"
"Weatherly,GeorgeC.","2"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
