Scopus - Analyze author output

"Author name:","Nambi, Indumathi Manivannan D U M A T H I M"
"Scopus author ID:","6506518801"

"Co-authors:","28"

"Co-author","Co-authored documents"

"SureshKumar,Govindarajan","16"
"Vasudevan,M.","8"
"Berlin,M.","7"
"Devasena,M.","4"
"Senthilnathan,Jaganathan","4"
"Ambika,Selvaraj","4"
"Gangadharan,Praveena","3"
"Gaonkar,OmkarD.","3"
"POWERS,SUSANE.","3"
"Werth,CharlesJ.","2"
"Albino,JohnD.","2"
"Sanford,RobertA.","2"
"Mekala,C.","2"
"Maliyekkal,ShihabudheenMundampra","1"
"Divyapriya,Govindaraj","1"
"Davis,GregB.","1"
"Lekmine,Grégory","1"
"Ansaf,KarimVayalunkalKarottu","1"
"Philip,LigyK.","1"
"RaviKrishna,R.","1"
"Curry,GarreyW.","1"
"Rayner,JohnL.","1"
"Shukla,SanjayP.","1"
"Johnston,ColinD.","1"
"Bastow,TrevorP.","1"
"Valocchi,AlbertJ.","1"
"Prakash,Pavithra","1"
"Pavithra,V.M.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
