Scopus - Analyze author output

"Author name:","Philip, Ligy"
"Scopus author ID:","56893347600"

"Co-authors:","19"

"Co-author","Co-authored documents"

"Priyamvada,Hema","1"
"Rajagopalan,Prema","1"
"Basu,NanditaB.","1"
"Després,VivianeR.","1"
"Hubbard,Shane","1"
"Snyder,ShaneA.","1"
"Juran,Luke","1"
"Ravikrishna,RaghunathanV.","1"
"Biju,C.V.","1"
"Kumar,AshwiniJ.","1"
"Gunthe,SachinS.","1"
"Verma,RamaShankar","1"
"MacDonald,MorganC.","1"
"Anumol,Tarun","1"
"Sahu,L.K.","1"
"Valsan,AswathyE.","1"
"Park,Minkyu","1"
"Vijayanandan,Arya","1"
"Rajagopal,Raj","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
