Scopus - Analyze author output

"Author name:","Philip, Ligy K."
"Scopus author ID:","7004374926"

"Co-authors:","75"

"Co-author","Co-authored documents"

"Bhallamudi,S.Murty","9"
"Venkobachar,C.","9"
"Swaminathan,TyagarajanR.","7"
"Iyengar,Leela","7"
"MurtyBhallamudi,S.","7"
"Maliyekkal,ShihabudheenMundampra","6"
"Kumar,Mathava","6"
"Senthilnathan,Jaganathan","6"
"Balasubramanian,P.","4"
"Krishna,K.Rama","4"
"Somasundaram,V.","4"
"Ramanujam,Sarathi","4"
"Singh,RajKamal","4"
"Elangovan,Rajasekar","4"
"Oberoi,AkashdeepSingh","4"
"Rene,EldonRaj","4"
"Sharma,NareshK.","4"
"Priya,V.S.","4"
"Ghosh,PranabKumar","4"
"Hewitt,PeterJ.","3"
"Jeyasingh,J.","3"
"Arya,V.","3"
"Krishnan,ChandrarajRaj","3"
"Shashidhar,T.","3"
"Datta,AvirajK.","3"
"Bandyopadhyay,ManasP.","3"
"Ravi,Rajamanickam","3"
"Aronson,KristanJ.","2"
"Deshusses,MarcA.","2"
"Kumar,BhuvaneshRavi","2"
"Dillon,CathalG.","2"
"Hall,KevinR.","2"
"Ali,SyedImran","2"
"Krithika,D.","2"
"Pradeep,ThalappilP.","2"
"Babu,Vigneshwar","2"
"SrinivasReddy,K.","1"
"Ellard,H.T.","1"
"Hong,Gihoon","1"
"Boobalan,Thulasinathan","1"
"Ahn,Yuhwan","1"
"Keerthiga,Gopalram","1"
"Ramprasad,C.","1"
"Shimell,H.","1"
"Murphy,WilliamF.","1"
"Nambi,IndumathiManivannanDUMATHIM","1"
"Sampath,K.Arun","1"
"Vinothini,G.","1"
"Surenjan,Anupama","1"
"Barman,SanjoyN.","1"
"Sundaresan,NarasinganallurK.","1"
"Aravamudan,Kannan","1"
"Lloyd,ChristopherDavid","1"
"Suneethi,Sundar","1"
"Neelamani,Subram","1"
"Shanmugam,Palanisamy","1"
"MacDonald,MorganC.","1"
"Harikumar,Varun","1"
"Nandanan,Nisha","1"
"Muraleedharan,T.R.","1"
"Maliyekkai,ShihabubudheedM.","1"
"Jincy,J.","1"
"MurtyBhallamudi,M.","1"
"Kannan,AravindarajG.","1"
"Reddy,K.Srinivasa","1"
"Krishna,N.DVNSM","1"
"Sambandam,Balaji","1"
"Shukla,SanjayP.","1"
"Madhubabu,S.","1"
"Sharma,AtulKumar","1"
"RamaKrishna,K.","1"
"Ghosh,ParthaK.","1"
"Quinn,J.D.","1"
"Soundhar,R.Girish","1"
"Kanmani,M.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
