Scopus - Analyze author output

"Author name:","Pillai, Radhakrishna G."
"Scopus author ID:","12781775200"

"Co-authors:","17"

"Co-author","Co-authored documents"

"Trejo,David","11"
"Reinschmidt,KennethF(Chairman)","8"
"Gardoni,Paolo","8"
"Hueste,MaryBethD","7"
"Karuppanasamy,Jayachandran","2"
"Raghavan,Narasimhan","1"
"Bharatkumar,BhajantriH.","1"
"Kalidindi,SatyanarayanaN.","1"
"Rengaraju,Sripriya","1"
"Sangoju,Bhaskar","1"
"Sherfudeen,ArifullahP.","1"
"Sengupta,AmlanKumar","1"
"Gettu,Ravindra","1"
"Iyer,NageshR.","1"
"D.Hueste,MaryBeth","1"
"Firodiya,PayalK.","1"
"Kumar,Nitish","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
