Scopus - Analyze author output

"Author name:","Raghukanth, S. T. G."
"Scopus author ID:","6507932930"

"Co-authors:","23"

"Co-author","Co-authored documents"

"Iyengar,RajaNarayana","10"
"Dash,SujitKumar","7"
"Pallav,Kumar","5"
"Singh,KonjengbamDarunkumar","4"
"Kavitha,B.","3"
"Jayalakshmi,S.","3"
"Gade,Maheshreddy","2"
"Sreelatha,S.","2"
"Dixit,Jagabandhu","2"
"Prabhu,Muthuganeisan","1"
"Jaya,V.","1"
"Kumari,K.Lakshmi","1"
"Ayothiraman,Ramanathan","1"
"Somala,SurendraNadh","1"
"DarunkumarSingh,Konjengbam","1"
"Lekshmy,P.R.","1"
"Somala,SurrendraNadh","1"
"Mallikarjuna,Ch","1"
"LakshmiKumari,K.","1"
"Sangeetha,S.","1"
"SonikaMohan,S.","1"
"Reddy,P.DT","1"
"BhanuTeja,B.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
