Scopus - Analyze author output

"Author name:","Ramadurai, Gitakrishnan"
"Scopus author ID:","24072060000"

"Co-authors:","22"

"Co-author","Co-authored documents"

"Ukkusuri,SatishV.","8"
"Srinivasan,KarthikK.","2"
"Mohan,Ranju","2"
"Pang,Jongshi","2"
"Rajamanickam,GayathriDevi","1"
"Zhao,Jinye","1"
"Vanajakshi,LelithaDevi","1"
"Manohar,Manju","1"
"Anand,Asha","1"
"Patil,GopalR.","1"
"LakshmiBhargavi,P.V.","1"
"Jagannathan,Krishna","1"
"Miranda-Moreno,LuisF.","1"
"Reddy,V.VBhavesh","1"
"Chatterjee,Atanu","1"
"Isa-Tavarez,Jhael","1"
"Han,Lanshan","1"
"Radhakrishnan,Sanjay","1"
"Chatterjee,Atanu","1"
"Muthuram,Vidhya","1"
"Srinivasan,Sumeeta","1"
"Manipriya,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
