Scopus - Analyze author output

"Author name:","Rao, B. N."
"Scopus author ID:","24462032800"

"Co-authors:","72"

"Co-author","Co-authored documents"

"Rahman,Sharif","30"
"Chowdhury,Rajib","21"
"Balu,A.S.","15"
"Prasad,AnumoluMeher","11"
"Reddy,RamakanthMAmarsagar","9"
"Rajesh,K.N.","8"
"Muthulingam,S.","7"
"Arun,C.O.","7"
"Kuna,Meinhard","6"
"Kalanad,Aysha","5"
"MeherPrasad,Anumolu","5"
"Rao,C.Lakshmana","4"
"Dodagoudar,GoudappaR.","3"
"Ghouse,M.D.","3"
"Kushwaha,HariShankar","2"
"Sivakumar,SrinivasanM.","2"
"Kumar,RachakondaPraveen","2"
"Srinivasan,SivakumarM.","2"
"Singh,RamKumar","2"
"Mukherjee,Debashis","2"
"Unnithan,Vipin","1"
"Narayanamurthy,V.","1"
"Lam,Pohsang","1"
"Cohn,MarvinJ.","1"
"Brongers,MichielPeterHein","1"
"Fong,Jeffrey","1"
"Wang,Yongyi","1"
"Rahman,Sharif","1"
"Tang,Jim","1"
"Wang,JohnJyAn","1"
"Ashokkumar,Rajesh","1"
"Duncan,AndrewJ.","1"
"Dong,Pingsha","1"
"LakshmanaRao,C.","1"
"Cheng,Wentao","1"
"Brust,FrederickW.","1"
"Anand,VijayS.","1"
"Ren,Weiju","1"
"Meenakshi,T.","1"
"Sherry,AndrewH.","1"
"Subramanian,KarthikH.","1"
"Kumar,ManojSarathSiva","1"
"Maganti,Janardhana","1"
"Rudland,DavidL.","1"
"Kumar,SarveshMSiva","1"
"Sujith,M.S.","1"
"O'Dowd,NoelPatrick","1"
"SatishKumar,S.R.","1"
"Sunitha,N.V.","1"
"Moinereau,Dominique","1"
"Cipolla,RussellC.","1"
"Scarth,DouglasA.","1"
"Keim,Elisabeth","1"
"Park,Youngho","1"
"Rodgers,DouglasK.","1"
"Wilkowski,GeryM.","1"
"Gilles,Philippe","1"
"Nandulal,B.","1"
"Liu,Ming","1"
"Kalyanaraman,Venkatakrishnan","1"
"Patnaik,B.SVP","1"
"Paul,Sayantan","1"
"Lidbury,DavidPG","1"
"Swindeman,RobertW.","1"
"Xu,Hongan","1"
"Hasegawa,Kunio","1"
"AravindaPriyadarshini,K.","1"
"Aihara,Shuji","1"
"Mandali,AlekhyaKumar","1"
"Nagapadmaja,P.","1"
"Unnikrishnan,VipinU.","1"
"Scott,ColinStuart","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
