Scopus - Analyze author output

"Author name:","Santhanam, Manu S."
"Scopus author ID:","6701330094"

"Co-authors:","100"

"Co-author","Co-authored documents"

"Cohen,MenashiD.","10"
"Olek,Jan","8"
"Bahurudeen,A.","7"
"Sheorey,VijayB.","6"
"Nanthagopalan,Prakash","6"
"Parida,F.C.","6"
"Lakshminarayan,Arul","5"
"Dinakar,Pasla","4"
"Babu,KodeboyinaGanesh","4"
"Kasthurba,AyikkaraK.","4"
"Haneefa,K.Mohammed","4"
"Kishore,VimalAnoop","4"
"Sivakumar,AmaravadiVN","3"
"Shajil,N.","3"
"Amritkar,RavindraE.","3"
"Dhanya,B.S.","3"
"Pal,Harinder","3"
"MohammedHaneefa,K.M.","3"
"Srinivasan,SivakumarM.","3"
"Kantz,Holger","3"
"Srinath,B.","2"
"Sonawane,AbhijeetR.","2"
"Sanish,K.B.","2"
"Venkatachalapathy,V.","2"
"Jallad,KarimN.","2"
"Chakraborti,Anirban","2"
"Ballim,Yunus","2"
"Achyuthan,Hema","2"
"DivyaRani,S.","2"
"Cheriyan,SanthoshG.","2"
"Gettu,Ravindra","2"
"Patra,PrabirK.","2"
"Arora,Siddharth","2"
"Bandyopadhyay,JayendraN.","2"
"Potty,K.VJ","1"
"Murugan,M.","1"
"Mayya,K.BK","1"
"Ambika,G.","1"
"Patil,Aashay","1"
"Kishore,Arun","1"
"Haist,Michael","1"
"SenGupta,Soujit","1"
"Basak,Jayanta","1"
"Sivathanupillai,C.","1"
"Trivedi,Deepak","1"
"Sanche,L.","1"
"Lu,Qingbin","1"
"Marckson,A.V.","1"
"Lan,Boonleong","1"
"Ahalpara,DilipP.","1"
"Kumar,ShashiAshok","1"
"Rao,P.LS","1"
"Kumar,SenthilV.","1"
"Vaisakh,K.S.","1"
"Venugopalan,K.","1"
"Yuan,Qiang","1"
"Rajasekaran,Inian","1"
"Agarwal,RashmiB.","1"
"Tewari,Mukul","1"
"Dili,A.S.","1"
"Jayasree,C.","1"
"Hime,WilliamG.","1"
"Ramu,YogeshKumar","1"
"Akhtar,Imran","1"
"Huillet,ThierryE.","1"
"Sathia,R.","1"
"Basit,MirzaAbdul","1"
"Wani,Kaisar","1"
"Ng,Jinaun","1"
"Shah,SurendraP.","1"
"Hemalatha,M.S.","1"
"Sengupta,Anirwan","1"
"Babut,K.G.","1"
"Patriarca,Marco","1"
"Mahesh,Y.VSSU","1"
"Subramanian,SundaramoorthyN.","1"
"Paul,Sanku","1"
"Chockalingam,RameshB.","1"
"Sabir,Behlool","1"
"SivathanuPillai,C.","1"
"Alexander,MarkGavin","1"
"Pradeep,ThalappilP.","1"
"Bensted,John","1"
"Graham,PeterC.","1"
"Bhattacharyay,Arijit","1"
"Kanraj,Deepak","1"
"Siva,V.HR","1"
"Ramalingam,Saravanan","1"
"Patra,PrabirK.","1"
"Neithalath,Narayanan","1"
"Patra,PrabirK.","1"
"Ramasamy,RamamoorthyPerumal","1"
"SenthilKumar,V.","1"
"Ben-Amotz,Dor","1"
"Angom,DilipSingh","1"
"Mathews,MalachyS.","1"
"Sudarshan,Anant","1"
"Prasath,G.","1"
"GokulDev,V.","1"
"Müller,HaraldS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
