Scopus - Analyze author output

"Author name:","Shiva Nagendra, S. M."
"Scopus author ID:","6505481260"

"Co-authors:","16"

"Co-author","Co-authored documents"

"Khare,Mukesh","7"
"Chithra,V.S.","6"
"Srimuruganandam,B.","5"
"Gulia,Sunil","2"
"KishoreKumar,M.","2"
"Sulochana,K.","1"
"Agarwal,Neha","1"
"Menon,JyothiS.","1"
"Sivanandan,Ramaswamy","1"
"Vasa,NileshJayanthilal","1"
"Selvaraj,Ramya","1"
"Peter,AnjuElizbath","1"
"Diya,M.","1"
"Jaikumar,Rohit","1"
"Kumar,ManthanKishore","1"
"Khanna,Isha","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
