Scopus - Analyze author output

"Author name:","Sivanandan, Ramaswamy"
"Scopus author ID:","6602676671"

"Co-authors:","36"

"Co-author","Co-authored documents"

"Hobeika,AntoineG.","4"
"Gowri,AsaithambiMangala","4"
"Srinivasan,KarthikK.","3"
"Asaithambi,Gowri","3"
"Kanagaraj,Venkatesan","3"
"Anusha,S.P.","2"
"Venkatesan,KanagarajPrasanna","2"
"Sherali,HanifD.","2"
"Lakshmanan,Valliappa","1"
"Arnold,EugeneD.","1"
"Narayanan,Arvind","1"
"Dion,François","1"
"Balakrishnan,Srijith","1"
"Ramakrishna,Y.","1"
"Özbay,KaanMA","1"
"VanAerde,MichelW.","1"
"Vanajakshi,LelithaDevi","1"
"ShivaNagendra,S.M.","1"
"Lockwood,PhilomenaB.","1"
"Senthilraj,S.K.","1"
"Subramaniam,SamP.","1"
"Ardekani,SiamakA.","1"
"Jehanian,KarenM.","1"
"O'Neill,W.A.","1"
"Ramakrishna,PeriyapatnaA.","1"
"Kumar,RohitashwVYogesh","1"
"Jaikumar,Rohit","1"
"Koshy,B.I.","1"
"Subramanian,ShankarCoimbatore","1"
"Rakha,HeshamA.","1"
"Rengaraju,V.R.","1"
"Zhang,Yihua","1"
"Nanda,Dhruv","1"
"Ameen,MaryD.","1"
"Reddy,VisVenkat","1"
"Pattnaik,SarojraniB.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
