Scopus - Analyze author output

"Author name:","Srinivasan, Karthik K."
"Scopus author ID:","56929670600"

"Co-authors:","23"

"Co-author","Co-authored documents"

"Sivanandan,Ramaswamy","3"
"Kanagaraj,Venkatesan","3"
"Mahmassani,HaniS.","3"
"Ramadurai,Gitakrishnan","2"
"Asaithambi,Gowri","2"
"Srinivas,V.V.","1"
"MaheswaraNaidu,G.","1"
"Rajagopalan,BharathS.","1"
"Huynh,NathanN.","1"
"Athuru,SudhakarReddy","1"
"Kraan,Mariëtte","1"
"Bhargavi,P.","1"
"Mathew,Samson","1"
"Veeraragavan,Amirthalingam","1"
"LakshmiBhargavi,P.V.","1"
"Ciǧizoǧlu,HikmetKerem","1"
"Pradhan,GautamN.","1"
"Sutrala,Tejaswi","1"
"Sunitha,V.","1"
"Sidharthan,Raghuprasad","1"
"Muthuram,Vidhya","1"
"Srinivasan,Sumeeta","1"
"Naidu,G.Maheswara","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
