Scopus - Analyze author output

"Author name:","Vanajakshi, Lelitha Devi"
"Scopus author ID:","6507484049"

"Co-authors:","50"

"Co-author","Co-authored documents"

"Subramanian,ShankarCoimbatore","17"
"George,B.","8"
"Rilett,LaurenceR.","6"
"Kumar,SelvarajVasantha","5"
"Sharma,Anuj","4"
"Dhivyabharathi,B.","3"
"Ali,SafdarSheikMohammed","3"
"Anusha,S.P.","3"
"Padmanaban,R.PS","3"
"SheikMohammedAli,S.","3"
"Thankappan,Ajitha","3"
"MohammedAli,S.Sheik","2"
"Girish,V.V.","2"
"Koppineni,Akhilesh","2"
"Kumar,B.Anil","2"
"Anand,RajulAsha","2"
"Padiath,Ameena","2"
"Theja,P.VVK","1"
"Amrutsamanvar,Rushikesh","1"
"Joshi,Niranjan","1"
"Asha,A.","1"
"Kodali,Srinivas","1"
"Hima,E.S.","1"
"Rao,Nageswara","1"
"Dogiparthi,KrishnaChaitanya","1"
"Amritha,S.","1"
"Tamut,Yamem","1"
"AnilKumar,B.","1"
"Sridharan,Deepika","1"
"VasanthaKumar,S.","1"
"Ramadurai,Gitakrishnan","1"
"Shaji,HiimaaEllssaa","1"
"Anand,Asha","1"
"Sivanandan,Ramaswamy","1"
"Kumar,VaradarajanJagadeesh","1"
"Williams,BillyM.","1"
"Jayashankar,V.","1"
"Manda,Harishreddy","1"
"Badhrudeen,Mohamed","1"
"Siddharth,K.","1"
"Raj,Jithin","1"
"Ajitha,T.","1"
"Harshitha,M.S.","1"
"Mothukuri,Snigdha","1"
"Panda,Manoj","1"
"Chaitanya,Krishna","1"
"Venkatraman,Jayashankar","1"
"Divakar,K.","1"
"Fulari,ShrikantG.","1"
"Reddy,KranthiKumar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
