Scopus - Analyze author output

"Author name:","Veeraragavan, Amirthalingam"
"Scopus author ID:","18134725400"

"Co-authors:","59"

"Co-author","Co-authored documents"

"Krishnan,J.Murali","9"
"Punith,VeeralingaS.","8"
"RajibMallick,Rajib","6"
"Roy,Neethu","4"
"Kumar,SujeetAnjan","4"
"Awanti,S.S.","3"
"Mathew,Samson","3"
"Sunitha,V.","3"
"Amarnath,M.S.","3"
"Bhowmick,Sankha","2"
"Raju,Sridhar","2"
"Nivedya,M.K.","2"
"Bose,SunilK.","2"
"Rajagopal,ArudiS.","2"
"AnjanKumar,Siddagangaiah","2"
"Nithin,S.","2"
"Reddy,K.Chandrasekhar","2"
"Reashma,P.S.","2"
"Justo,C.EG","2"
"Srinivasan,KarthikK.","1"
"Rajagopal.,KarthikeyanA.","1"
"Rejani,V.U.","1"
"Suresha,SubbaraoNagabhushanarao","1"
"Rajagopal,K.","1"
"Praveen,S.B.","1"
"Priya,R.Jyothi","1"
"Saravanan,U.","1"
"Rawat,Pankaj","1"
"Nivitha,M.R.","1"
"Roja,K.Lakshmi","1"
"Dinu,RamonaR.","1"
"MuraliKrishnan,J.","1"
"Jain,PradeepKumar","1"
"Carelli,J.","1"
"Harvey,JohnT.","1"
"Minotra,Dhiraj","1"
"Myers,Ray","1"
"Kumar,KanthaK.","1"
"Daniel,JoSiasSias","1"
"LeonardD.Albano,Leonard","1"
"Srinivasan,KarthikK.","1"
"Karthik,K.R.","1"
"Chandran,Shiju","1"
"Reddy,KommidiSantosh","1"
"Simha,N.RN","1"
"Alagappan,P.","1"
"Tao,M.","1"
"Li,Hui","1"
"Reck,Nicholas","1"
"Robert,VivianR.","1"
"Isaac,KuncheriaP.","1"
"KrishnaP,Murali","1"
"Jacobs,JenniferM.","1"
"Chen,Baoliang","1"
"Sivaguru,N.","1"
"Amirkhanian,SerjiN.","1"
"Reddy,B.B.","1"
"RathnakaraReddy,K.B.","1"
"SivakumarBabu,G.LS","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
