Scopus - Analyze author output

"Author name:","Arunachalam, Kavitha"
"Scopus author ID:","15063948700"

"Co-authors:","80"

"Co-author","Co-authored documents"

"Udpa,Lalita","22"
"Udpa,SatishS.","21"
"Maccarini,PaoloFrancesco","20"
"Stauffer,PaulR.","19"
"Craciunescu,OanaI.","9"
"Schlorff,JaimeL.","7"
"Birkelund,Yngve","5"
"Jacobsen,SveinKetil","5"
"Snow,BrentW.","4"
"DeLuca,ValeriaMidolo","4"
"Klemetsen,Øystein","3"
"Martins,CarlosDaniel","3"
"Vujašković,Željko","3"
"Chakaravarthi,Geetha","3"
"Juang,Titania","3"
"Bardati,Fernando","3"
"Melapudi,VikramR.","3"
"Tognolatti,Piero","2"
"Das,ShivaK.","2"
"Ramuhalli,Pradeep","2"
"Akki,RachanaS.","2"
"Cheng,Kungshan","2"
"Benson,JamesWilliam","2"
"Dewhirst,MarkW.","2"
"Krishnamurthy,ChittivenkataV.","2"
"Soher,BrianJ.","2"
"Rangarao,Sneha","2"
"Wyatt,CoryR.","2"
"Markewitz,EdwardJ.","2"
"Macfall,JamesR.","2"
"Vidyalakshmi,M.R.","2"
"Poojali,Jayaprakash","1"
"Shanker,Balasubramaniam","1"
"Markowitz,Edward","1"
"Arabe,OmarAli","1"
"Lei,Naiguang","1"
"Charles,CecilCecil","1"
"Rothwell,EdwardJ.","1"
"Reyes-Rodríguez,Solimar","1"
"Pesala,Bala","1"
"Ray,Shaumik","1"
"Rossetto,Francesca","1"
"Joshi,AmeetV.","1"
"Gaeta,CelestinoJ.","1"
"Stauffer,PaulR.","1"
"Roy,PallabKantiAnti","1"
"Balasubramaniam,KrishnanS.","1"
"Zeng,Zhiwei","1"
"Uduebho,Oseghale","1"
"Jones,EllenL.","1"
"Diederich,ChrisJ.","1"
"Li,Zhen","1"
"Chukkala,DivyaPriya","1"
"Boico,Alina","1"
"Rajendran,Tharrini","1"
"Kumaran,Nithila","1"
"Lu,Chuan","1"
"Wong,Terence","1"
"Bardel,Charles","1"
"Yadam,YugandharaRao","1"
"Joines,WilliamThomas","1"
"Kalyanasundaram,Kayatri","1"
"Milligan,AndrewJ.","1"
"MaheshRaja,P.","1"
"Neumann,Daniel","1"
"Salahi,Sara","1"
"Stakhursky,VadimL.","1"
"Sneed,PennyK.","1"
"Ramachandran,Ragothaman","1"
"DeLuca,Valeria","1"
"Balasubramanian,Krishnan","1"
"Parrikar,UtpalP.","1"
"Pysher,TheodoreJ.","1"
"Hsu,Joe","1"
"Jayaprakash,Poojali","1"
"Patnaik,PragyanPrasu","1"
"Arun-Kumar,ShivaP.","1"
"Yuan,Yu","1"
"Chitti,KrishnamurthyV.","1"
"Sterzer,FredS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
