Scopus - Analyze author output

"Author name:","Krishnamurthi, Ganapathy"
"Scopus author ID:","6601974005"

"Co-authors:","68"

"Co-author","Co-authored documents"

"Suri,JasjitS.","6"
"Liang,Yun","6"
"Stantz,KeithM.","5"
"Acharya,U.R.","5"
"Sanches,J.Miguel","4"
"Hutchins,GaryD.","4"
"Sree,SubbhuraamVinitha","4"
"Steinmetz,RosemaryW.","3"
"Alvin,AngPengChuanChuan","3"
"Faust,Oliver","3"
"Seabra,JoséCR","3"
"Saba,Luca","2"
"Wilson,DavidL.","2"
"Cao,Minsong","2"
"AlEkish,Shadi","1"
"Nicolaïdes,AndrewN.","1"
"Yantri,Ratna","1"
"Qutaish,MohammedQ.","1"
"S.,VinithaSree","1"
"Anderson,Christian","1"
"Martis,RoshanJoyOy","1"
"Callstrom,MatthewR.","1"
"Verma,Kuldeep","1"
"King,BernardF.","1"
"Irazabal,MaríaValentina","1"
"Murdock,LarryL.","1"
"Chen,Laigao","1"
"Molinari,Filippo","1"
"Pareek,Gyan","1"
"Varma,ManojManoj","1"
"Tarver,MatthewR.","1"
"Norwood,TimothyJ.","1"
"Marinho,RuiTato","1"
"Zeng,Guang","1"
"McCollough,CynthiaH.","1"
"Ribeiro,RicardoT.","1"
"VinithaSree,Subbhuraam","1"
"Lü,Hong","1"
"El-Baz,AymanS.","1"
"Pittendrigh,BarryRobert","1"
"Gattone,VincentHII","1"
"Erickson,BradleyJamesMD","1"
"Beland,MichaelD.","1"
"Swapna,Goutham","1"
"Woodrum,DavidA.","1"
"Shade,RichardE.","1"
"Wuttisarnwattana,Patiwet","1"
"Vaidhya,Kiran","1"
"Moore,Benjamin","1"
"Torres,VicenteE.","1"
"Thirunavukkarasu,Subramaniam","1"
"RamírezGiraldo,JuanCarlosRamirez","1"
"Thompson,ScottM.","1"
"Tarver,RobertD.","1"
"Warner,JoshuaD.","1"
"Hanasoge,ShravanM.","1"
"RajendraAcharya,U.","1"
"Sullivant,KristinE.","1"
"Bhattacharya,Jishnu","1"
"Antia,H.M.","1"
"Gargesha,Madhusudhana","1"
"Alex,Varghese","1"
"Steyer,GrantJ.","1"
"Knudsen,BruceE.","1"
"Pressen,RobertG.","1"
"Roy,DebashishC.","1"
"Mallarini,Giorgio","1"
"Wang,CharlieY.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
