Scopus - Analyze author output

"Author name:","Ramu, Palaniappan"
"Scopus author ID:","18042509000"

"Co-authors:","40"

"Co-author","Co-authored documents"

"Haftka,RaphaelT(Compiler)","9"
"Kim,Namho","6"
"Kolagani,Nagesh","5"
"EdwardJero,S.","5"
"Ramakrishnan,SwaminathanS.","4"
"Muthuganapathy,Ramanathan","2"
"Voinov,AlexeyA.","2"
"Youn,Byengdong","2"
"Ganapathy,Harish","2"
"Jero,S.Edward","2"
"Missoum,Samy","2"
"Varghese,KoshyC.","1"
"SaravanaKumar,G.","1"
"Mohan,Kiran","1"
"Choi,KyungK.","1"
"McCall,MichaelK.","1"
"Arul,SivasankarP.","1"
"SamJeevaRaj,EdwardJero","1"
"Rao,C.Lakshmana","1"
"Krishna,ManojSivalingamVamsi","1"
"VanElzakker,CornéPJM","1"
"Gali,Rajeshwar","1"
"Kumar,GurunathanSaravanaDeepak","1"
"Swaminathan,Ramakrishnan","1"
"Pierce,SuzanneA.","1"
"Acar,Erdem","1"
"Choi,KyungKook","1"
"Krishnan,Venkatesh","1"
"Naniwadekar,Vishram","1"
"Qu,Xueyong","1"
"Jayaganthan,R.","1"
"Ostermann,FrankO.","1"
"Chowdary,P.Venkateshwara","1"
"Varghese,Vicky","1"
"Qu,Xueyong","1"
"Suresh,J.A.","1"
"Glynn,PierreD.","1"
"Varghese,Koshy","1"
"Kragt,M.E.","1"
"Queipo,NéstorV.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
