Scopus - Analyze author output

"Author name:","Rao, Balkrishna C."
"Scopus author ID:","15072203600"

"Co-authors:","34"

"Co-author","Co-authored documents"

"Chandrasekar,SrinivasanB.","12"
"Shankar,MeenakshisundaramRavi","9"
"Shin,Y.C.","8"
"Compton,WalterDale","7"
"King,Alex","7"
"Trumble,KevinP.","6"
"Gao,RobertX.","5"
"Brown,TravisL.","5"
"Warrington,RobertO.","4"
"Swaminathan,Srinivasan","4"
"Iglesias,Patricia","3"
"Bermúdez,MaríaDolores","3"
"Fang,Ji","2"
"Jiménez,AnaEva","2"
"Ghangrekar,PareshS.","2"
"DaleCompton,W.","2"
"Murthy,Hema","2"
"Friedrich,CraigR.","2"
"Kezar,RenaeF.","2"
"Verma,RaviC.","1"
"Banjare,Ramprakash","1"
"Dandekar,ChinmayaR.","1"
"Swarainathan,S.","1"
"Rambin,ChristopherL.","1"
"Hwang,Jihong","1"
"Moscoso,Wilfredo","1"
"Li,Hongqi","1"
"Clancy,BasonE.","1"
"Uluca,Y.","1"
"Kuppusamy,Ravindran","1"
"Perdigó,T.","1"
"Lee,Seongeyl","1"
"Mann,James","1"
"Lee,Seongyl","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
