Scopus - Analyze author output

"Author name:","Saravana Kumar, G."
"Scopus author ID:","55430364400"

"Co-authors:","25"

"Co-author","Co-authored documents"

"Pandithevan,Ponnusamy","5"
"Narayanan,RamGanesh","4"
"Kalra,PremKumar","3"
"Dhande,SanjayGovind","3"
"Varghese,Vicky","3"
"Dey,SusantaKumar","2"
"Kumar,KrishnanTulasi","2"
"Dhumal,AbhishekT.","2"
"Krishnan,Venkatesh","2"
"Bandyopadhyay,Sandipan","2"
"Gupta,ManishKumar","1"
"Ambatti,AppaRao","1"
"Sahasrabudhe,AnilDattatraya","1"
"Ganesh,NarayananR.","1"
"GaneshNarayanan,R.","1"
"Srivatsan,RangaprasadArun","1"
"Venkatesh,KrishnanP.","1"
"VeeraBabu,K.Veera","1"
"George,SubinP.","1"
"Badduri,Jaideep","1"
"Ramu,Palaniappan","1"
"Arikere,Aditya","1"
"Babu,K.VeeraR","1"
"Athertya,JiyoS.","1"
"Sajaysurya,G.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
