Scopus - Analyze author output

"Author name:","Subramanian, Shankar Coimbatore"
"Scopus author ID:","7202867663"

"Co-authors:","47"

"Co-author","Co-authored documents"

"Vanajakshi,LelithaDevi","17"
"Rajagopal,KumbakonamRamamani","9"
"Darbha,Swaroop","7"
"Sahoo,Shubhashisa","4"
"Srivastava,Suresh","4"
"Rajaram,Vignesh","4"
"Kumar,ChitranjanSNanda","3"
"Padmanaban,R.PS","3"
"Karthikeyan,ParasuramanN.","3"
"Kumar,SelvarajVasantha","3"
"Sonawane,DnyaneshB.","2"
"Anusha,S.P.","2"
"Mahanty,Subhajit","2"
"Padiath,Ameena","2"
"Sharma,Anuj","2"
"Fulari,ShrikantG.","2"
"Dhivyabharathi,B.","1"
"Bhandari,Vartika","1"
"Lanajakshi,Lelitha","1"
"Amrutsamanvar,Rushikesh","1"
"Senthilkumar,D.","1"
"Gautam,Vikas","1"
"Dogiparthi,KrishnaChaitanya","1"
"Siva,Ch","1"
"Kumar,E.Arun","1"
"KrishnaKumar,R.","1"
"Amritha,S.","1"
"Kumar,B.Anil","1"
"Sivanandan,Ramaswamy","1"
"Bowlin,C.L.","1"
"Anand,RajulAsha","1"
"JaggaRaju,N.","1"
"Manda,Harishreddy","1"
"Rilett,LaurenceR.","1"
"Ajitha,T.","1"
"Rao,Venkat","1"
"Muliana,AnastasiaHanifah","1"
"Mothukuri,Snigdha","1"
"Panda,Manoj","1"
"Narayan,KaushikBadri","1"
"Natarajan,SivakumaranV.","1"
"Asokan,Thondiyath","1"
"Natesan,Babu","1"
"Divakar,K.","1"
"Mythreyi,K.","1"
"Thankappan,Ajitha","1"
"Mahale,N.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
