Scopus - Analyze author output

"Author name:","Thondiyath, Asokan"
"Scopus author ID:","55657271400"

"Co-authors:","19"

"Co-author","Co-authored documents"

"Chandra,Sourav","7"
"Hayashibe,Mitsuhiro","5"
"Chandrasekaran,Karthik","3"
"Ranganathan,Thiyagarajan","3"
"Subramanian,Saravanakumar","2"
"George,TommyJ.","2"
"Nagarajan,Thareswari","2"
"Johnson,RoshinJacob","1"
"Sreeram,T.R.","1"
"Nandakumar,Ganeshram","1"
"Sivaraman,Sakthivel","1"
"Kumar,SillaPavanSantosh","1"
"Karnam,MuraliK.","1"
"Parameswaran,Suraj","1"
"Ramalingam,Manickam","1"
"Neettiyath,Umesh","1"
"Kalavakonda,Niveditha","1"
"Arjun,B.J.","1"
"Pattery,John","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
