Scopus - Analyze author output

"Author name:","Vasa, Nilesh J."
"Scopus author ID:","57189312978"

"Co-authors:","54"

"Co-author","Co-authored documents"

"Maeda,Mitsuo","24"
"Okada,Tatsuo","16"
"Oki,Yuji","10"
"Uchino,Osamu","6"
"Yokoyama,Shigeru","5"
"Nagaoka,Satoshi","5"
"Parhat,Husayin","5"
"Sakimura,Toru","5"
"Kubota,Yoshinori","5"
"Teshima,Takuya","4"
"Ikuta,Kouki","4"
"Nishimura,Natuya","4"
"Uchiumi,Michihiro","4"
"Mizunami,Toru","3"
"Okada,Tatsuo","3"
"Nakazono,Shinichiro","3"
"Morishita,Kouki","3"
"Nakata,Yoshiki","3"
"Igashihata,M.H.","3"
"Kidosaki,Masahiro","3"
"Higashihata,Mitsuhiro","2"
"Miyamoto,Shinichi","2"
"Goto,Satoshi","2"
"Nakamura,Masaru","2"
"Hatada,Akihiro","2"
"Nakagawa,Jun","2"
"Fujiwara,Makoto","2"
"Taniguchi,Hirokazu","2"
"Uetsuhara,Hiroshi","2"
"Husayin,Parhat","2"
"Funakoshi,Koutaro","1"
"Tanaka,Mitsuru","1"
"Meng,Zhicong","1"
"Chisaki,Yuichi","1"
"Sakai,Akira","1"
"Sarathi,Ramanujam","1"
"Tanaka,Ryo","1"
"Saito,Kouji","1"
"Uchinno,Osamu","1"
"Yoshioka,Masao","1"
"Ikuta,Kouji","1"
"Nakamura,Tadashi","1"
"Hata,Yasunari","1"
"Tsumura,Youichirou","1"
"Kawada,Noriyuki","1"
"Maeda,Mitsuo","1"
"Yoshikane,Noboru","1"
"Sui,Hongye","1"
"Yoshimura,Tomoshi","1"
"Takeshita,Hirohito","1"
"Nonaka,Yuji","1"
"Yokoyama,Shigeru","1"
"Asou,Kouji","1"
"Kudo,Tsutomu","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
