Scopus - Analyze author output

"Author name:","Vasa, Nilesh Jayanthilal"
"Scopus author ID:","55867497500"

"Co-authors:","131"

"Co-author","Co-authored documents"

"Sarathi,Ramanujam","13"
"Okada,Tatsuo","12"
"Singaperumal,Makaram","12"
"Palani,IyamperumalA.","10"
"Maeda,Mitsuo","9"
"Yokoyama,Shigeru","7"
"Sulochana,K.","6"
"Antony,JobinK.","5"
"Divya,K.","5"
"Damodaran,Vani","4"
"Chandapillai,Jacob","4"
"Suresh,MuthusamyV.","4"
"Laxmiprasad,A.S.","4"
"Kumaravel,M.","4"
"Agarwal,Vivek","4"
"SathieshKumar,V.","3"
"Nammi,Srinagalakshmi","3"
"Rao,Sureshranga","3"
"Mathur,AnilC.","3"
"Muralidhara","3"
"Oki,Yuji","3"
"Bhimasingu,Venkataramesh","3"
"Yoshitake,Tsuyoshi","3"
"Debalina,B.","2"
"Gupta,Sanjay","2"
"Akash,K.","2"
"Higashihata,Mitsuhiro","2"
"Pannirselvam,Emmanuel","2"
"Teshima,Takuya","2"
"Sriram,R.","2"
"Kannan,Divya","2"
"EstherBlessoVidhya,Y.","2"
"Ueda,Kiyotaka","2"
"Chakravarthi,SrinivasanR.","2"
"Nishimura,Natuya","2"
"Nagaoka,Satoshi","2"
"Hayashi,Hiromitsu","2"
"Aparna,N.","2"
"Uchiumi,Michihiro","2"
"Parhat,Husayin","2"
"Raja,V.LNSreedhar","2"
"Sarathi,R.","2"
"Kumar,V.Sathiesh","2"
"Leipertz,Alfred","2"
"Uchino,Osamu","2"
"Higuchi,Sadao","2"
"Nakata,Yoshiki","2"
"Eichmann,SimoneChristine","2"
"Rajan,J.Sundara","2"
"Uetsuhara,Hiroshi","2"
"Nakamura,Daisuke","2"
"Seeger,ThomasF.","2"
"Engel,SaschaRonald","2"
"Kamaraj,Malmurugan","2"
"Iwasa,Souhachi","2"
"Rao,Muralidhara","2"
"Kubota,Yoshinori","2"
"Balaganesan,G.","2"
"Mehta,A.","1"
"Srinivasan,BalajiVasan","1"
"Griffiths,HuwD.","1"
"Mitra,SouravK.","1"
"John,Pauline","1"
"Yellu,AnandR.","1"
"Mizunami,Toru","1"
"Varadharajan,Rajasekar","1"
"Sunilkumar,V.","1"
"Balakrishnan,SrivatsanK.","1"
"Meng,Zhicong","1"
"Nagarajan,Ramamurthy","1"
"Venkataramesh,B.","1"
"Paneerselvam,Emmanuel","1"
"Ikuta,Kouki","1"
"Makaram,Singaperumal","1"
"Muralidhara,M.","1"
"Sujatha,NarayananUnni","1"
"Miyamoto,Shinichi","1"
"Manchukutty,Suresh","1"
"Tanaka,Ryo","1"
"Jatana,GurneeshSingh","1"
"Kawata,Y.","1"
"Takemoto,Hisashi","1"
"Nasu,Toru","1"
"ShivaNagendra,S.M.","1"
"Vidhya,Y.EstherBlesso","1"
"Tiwari,Shivani","1"
"Chakravarthy,SatyanarayananR.","1"
"Nagamatsu,K.","1"
"Ezhilmaran,V.","1"
"Manoj,Murali","1"
"Srinivasa,Y.G.","1"
"Goto,Satoshi","1"
"Okada,Tatsuo","1"
"Wazeem,M.A.","1"
"Harsha,V.Sri","1"
"Ravindra,KumudhiniU.","1"
"MidhunReddy,V.","1"
"Jain,AnkitK.","1"
"Teja,N.VRavi","1"
"Selvaraj,Ramya","1"
"Carsten,Kopp","1"
"Samuel,G.L.","1"
"Nakamura,Tadashi","1"
"Kuriaki,Kazunori","1"
"Hata,Yasunari","1"
"Raghavendra,KesarabandiR.","1"
"Dilip,K.V.","1"
"Sridharraja,V.LN","1"
"Hemanth,Gangarapu","1"
"Singaperumal","1"
"Buddhudu,Srinivasa","1"
"Zuo,Duluo","1"
"Fujiwara,Makoto","1"
"Haddad,AbderrahmaneManu","1"
"Yoshikane,Noboru","1"
"Aso,Koji","1"
"Takeshita,Hirohito","1"
"Taniguchi,Hirokazu","1"
"Cherian,N.K.","1"
"Saha,Subirkumar","1"
"SridharRaja,V.LN","1"
"Okada","1"
"Saseendran,S.A.","1"
"Rajiv,G.","1"
"Sundarraman,P.","1"
"Ganesan,S.","1"
"Vijayaraghavan,L.","1"
"Nakahara,Michitaka","1"
"Agarwal,Vivek","1"
"Kudo,Tsutomu","1"
"Baskaran.,Ramachandran","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
