Scopus - Analyze author output

"Author name:","Vedantam, Srikanth"
"Scopus author ID:","6507195526"

"Co-authors:","28"

"Co-author","Co-authored documents"

"Panchagnula,MaheshV.","9"
"Mallick,Ashis","7"
"Patnaik,B.SVP","6"
"RamPrabhu,T.","6"
"Varma,VijayK.","5"
"Ranjith,S.Kumar","4"
"Prabhala,BharadwajR.","2"
"Abeyaratne,RohanC.","2"
"Tay,Andrew","2"
"Lu,Li","2"
"Anantharaju,Neeharika","2"
"Sivakumar,SrinivasanM.","1"
"Verma,Luv","1"
"Tatić-Lučić,Svetlana","1"
"Kishen,Anil","1"
"Mathew,Sam","1"
"Neti,Sudhakar","1"
"Vuppuluri,Amol","1"
"Subramanian,VenkatR.","1"
"Gupta,ManojManoj","1"
"Wei,Sun","1"
"Mahapatra,PallabSinha","1"
"Bonkinpillewar,PavanD.","1"
"Mohanraj,S.","1"
"Tun,Khinsandar","1"
"Kulkarni,Ajinkya","1"
"Anand,D.Vijay","1"
"Sun,Wei","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
