Scopus - Analyze author output

"Author name:","Aravind, G. S."
"Scopus author ID:","6504033380"

"Co-authors:","50"

"Co-author","Co-authored documents"

"Krishnakumar,E.","10"
"Gupta,AnchalK.","8"
"Ravinder,Dachepalli","6"
"Rawat,Prashant","5"
"Andersen,LarsH.","5"
"Prabhudesai,VaibhavS.","5"
"Krishnamurthy,Manchikanti","4"
"Raghasudha,M.","3"
"Deshmukh,PranawaC.","3"
"Rajput,Jyoti","3"
"Basak,Tanmay","3"
"BhargavaRam,N.","3"
"Roy,SatyajitJ.","3"
"Nrisimhamurty,M.","3"
"Lammich,Lutz","2"
"Rahman,MdAnisur","2"
"Rahbek,DennisB.","2"
"Racaud,Amandine","2"
"Nathanial,V.","2"
"Lemoine,JérômeÔme","2"
"Dugourd,PhilippeH.","2"
"Antoine,Rodolphe","2"
"Toker,Yoni","1"
"Krishnamurthy,M.V.","1"
"Subrahmaniyam,S.","1"
"VijayaKumar,R.","1"
"Nehru,B.","1"
"Bhatt,Pramod","1"
"Pradhan,GaganBihari","1"
"Kumar,RajinderVijaya","1"
"Pedersen,HenrikB.","1"
"Arun,Y.","1"
"Meena,SherSingh","1"
"Bhargavaram,N.","1"
"Chacko,Roby","1"
"ManivelRaja,Muthuvel","1"
"George,Juby","1"
"Balakrishnan,ArcotR.","1"
"Mane,RupaliG.","1"
"Klrke,B.","1"
"Jose,JobinVinodh","1"
"Klærke,Benedikte","1"
"Sunder,R.S.","1"
"Mane,RavinduG.","1"
"Manson,StevenTrent","1"
"Ram,NibeditaBhargava","1"
"Rundhe,MilindV.","1"
"Hashim,MohdAli","1"
"Bochenkova,AnastasiaV.","1"
"Gaffoor,Abdul","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
