Scopus - Analyze author output

"Author name:","Behera, P. K."
"Scopus author ID:","57072800800"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Raveendrababu,K.","3"
"D'imperio,G.","2"
"Scharf,Christian","2"
"Theofilatos,K.","2"
"Campanini,Renato","2"
"Mehta,AbhijitC.","2"
"Rebassoo,F.","2"
"DiezPardos,Carmen","2"
"Kaestli,H.C.","2"
"Goodell,JohnR.","2"
"Kadastik,Mario","2"
"Perelygin,V.O.","2"
"Finger,Mix","2"
"Kolberg,T.","2"
"Beliy,N.","2"
"Mersi,Stefano","2"
"Gouskos,Loukas","2"
"Lowette,Steven","2"
"Konyushikhin,M.","2"
"Mrenna,Stephen","2"
"DeMattia,Marco","2"
"Singh,GulzarP.","2"
"VanHove,Patrick","2"
"Magini,Nicolò","2"
"Kurt,Pelin","2"
"Petrucciani,Giovanni","2"
"Gastler,Dan","2"
"Dimitrov,AlB.","2"
"Sekmen,Sezen","2"
"Schöfbeck,Robert","2"
"Betchart,BurtonA.","2"
"Fernández-Bedoya,C.","2"
"Olivito,Dominick","2"
"Rose,KellyJohn","2"
"Murray,MorganJ.","2"
"Guchait,Monoranjan","2"
"Kunkle,JamieM.","2"
"Costa,SandroSilvaE","2"
"Smith,DouglasE.","2"
"DeGruttola,Michele","2"
"MohammadiNajafabadi,Mojtaba","2"
"Yusli,M.NB","2"
"Tlisov,DanilaA.","2"
"Belyaev,Alexander","2"
"Asawatangtrakuldee,Chayanit","2"
"Kazana,Małgorzata","2"
"Malberti,Martina","2"
"Clarida,Warren","2"
"Chinellato,J.A.","2"
"Andreev,V.V.","2"
"West,ChristopherG.","2"
"Pakhotin,YuA.","2"
"Meyer,Matthias","2"
"Korol,IeE.","2"
"D'alfonso,Mariarosaria","2"
"DeRoeck,Albert","2"
"Gavrilov,V.","2"
"Calpas,B.","2"
"Skovpen,K.YuU","2"
"Gurrola,Alfredo","2"
"Komaragiri,JyothsnaRani","2"
"Padley,B.Paul","2"
"Boletti,Alessio","2"
"VanMulders,Petra","2"
"Carnes,A.","2"
"Schnetzer,Stephen","2"
"FernandezMenendez,J.","2"
"Karneyeu,AntonE.","2"
"Gouzevitch,MaximeG.","2"
"Kogler,Roman","2"
"VilelaPereira,A.","2"
"Anderson,Danielle","2"
"Konigsberg,Jacobo","2"
"VanderDonckt,M.","2"
"Leggat,D.","2"
"Lee,S.W.","2"
"Bilki,Burak","2"
"Satyanarayana,BukinakereSubbakrihniah","2"
"Sexton-Kennedy,Elizabeth","2"
"MohamadIdris,Faridah","2"
"Dudero,PhillipR.","2"
"Triossi,Andrea","2"
"Charaf,Otman","2"
"FrancoSevilla,M.","2"
"Lampén,Tapio","2"
"Stoykova,S.","2"
"Krajczár,Krisztián","2"
"Bhattacharya,Subhaditya","2"
"Dutta,SuvankarB.","2"
"Calabria,Cesare","2"
"Perrotta,A.","2"
"Rabbertz,Klaus","2"
"Lanaro,A.","2"
"Özok,Ferhat","2"
"Chiorboli,Massimiliano","2"
"TapiaTakaki,J.D.","2"
"Viret,Sébastien","2"
"Bergauer,Thomas","2"
"Karjavin,V.Yu","2"
"Sola,Valentina","2"
"Santanastasio,Francesco","2"
"Waltenberger,Wolfgang","2"
"Meola,Sabino","2"
"Mićanović,S.","2"
"Mavromanolakis,Georgios","2"
"ChamizoLlatas,Maria","2"
"Kirakosyan,MartinR.","2"
"Caminada,LeaMichaela","2"
"Wendland,LauriA.","2"
"Cerminara,Gianluca","2"
"Jafari,Abolfazl","2"
"Uribe-Estrada,C.","2"
"Mangano,Boris","2"
"My,Salvatore","2"
"PuertaPelayo,Jesús","2"
"Klabbers,P.R.","2"
"Musella,Pasquale","2"
"Spiridonov,AlexanderA.","2"
"Ganjour,Serguei","2"
"Yohay,R.","2"
"Sirunyan,A.M.","2"
"Mermerkaya,H.","2"
"Kangal,E.Ersin","2"
"Bianco,Simone","2"
"MartinezRuizDelArbol,P.","2"
"Cabrillo,IbánJ.","2"
"Roy,AmulyaChandra","2"
"Cerati,GiuseppeB.","2"
"Junkes,Alexandra","2"
"Vanlaer,Pascal","2"
"Epshteyn,V.S.","2"
"Fernández,MaríaBoton","2"
"Bellan,Riccardo","2"
"Palmer,C.D.","2"
"Dosselli,U.","2"
"Flächer,H.F.","2"
"Traczyk,Piotr","2"
"Ševa,Tomislav","2"
"Mertens,Adrian","2"
"Smith,W.H.","2"
"Hinzmann,Andreas","2"
"Bianchini,Lorenzo","2"
"Magaña-Villalba,R.","2"
"Flechl,Martin","2"
"CarrilloMontoya,C.A.","2"
"Avila,C.","2"
"Milenovic,Predrag","2"
"AldayaMartin,M.","2"
"Dragoiu,C.","2"
"Tadel,Matevž","2"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
