Scopus - Analyze author output

"Author name:","Behera, Prafulla Kumar"
"Scopus author ID:","35226930300"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Brau,JamesE.","654"
"Torrence,E.D.","654"
"Cochran,James","654"
"Adye,TimothyJ.","654"
"Lacker,H.M.","653"
"Calderini,Giovanni","653"
"Kass,RichardD.","653"
"Lockman,WilliamS.","653"
"Dallapiccola,C.","652"
"Stugu,Bjarne","652"
"Sinev,NikolaiB.","652"
"Izen,J.M.","652"
"Seiden,AbrahamM.","652"
"Grenier,PhilippeA.","651"
"Soffer,Abner","651"
"Lou,Xinchou","651"
"Clark,P.J.","651"
"Bartoldus,Rainer","650"
"Cowan,GlenD.","650"
"Purohit,MilindV.","649"
"Eigen,GeraldP.","648"
"Ernst,J.A.","647"
"Robertson,StevenH.","647"
"Salnikov,AndreiA.","647"
"Wu,Saulan","644"
"Ocariz,José","642"
"Pan,Yu","640"
"Prell,SörenA.","640"
"Schwierz,Rainer","639"
"Morii,Mikio","639"
"Wittgen,M.","636"
"Rosenberg,EliI.","615"
"Young,Charles","612"
"Sobie,RandallJ.","608"
"Albert,JustinB.","606"
"Igonkina,OlgaB.","605"
"Watson,A.T.","604"
"Hawkes,ChrisM.","603"
"Lankford,AndrewJames","595"
"Kocian,MartinL.","592"
"Lombardo,VincenzoP.","578"
"Kozanecki,W.A.","575"
"Kagan,HarrisP.","575"
"Mazur,MichaelA.","571"
"Rahimi,AmirM.","567"
"Jackson,PaulD.","567"
"Aubert,B.","564"
"Hong,T.M.","557"
"Nugent,IanM.","552"
"Passaggio,StefanoP.","551"
"Bondioli,Mario","549"
"Park,Woochun","537"
"Wilson,MichaelG.","526"
"Dingfelder,JochenC.","525"
"Salvatore,Fabrizio","525"
"Sciolla,Gabriella","523"
"Sekula,S.J.","522"
"Petersen,BjörnAAA","521"
"Strube,Jan","518"
"Bona,Marcella","515"
"Kim,Peter","504"
"Barlow,NickR.","503"
"Banerjee,SwW.","502"
"Baak,Max","501"
"Sundermann,J.E.","493"
"Brunet,Sylvie","491"
"Alam,MuhammadSFerdous","490"
"Ye,S.Z.","489"
"Saleem,MurtazaS.","487"
"Majewski,StephanieA.","481"
"Lazzaro,Alfio","477"
"Mir,LIM.","473"
"Côté,David","468"
"Bomben,Marco","462"
"Çuhadar-Dönszelmann,Tülay","460"
"Mader,WolfgangF.","458"
"Wright,DougM.","457"
"Dauncey,PaulDominic","453"
"Margoni,MartinoM.","453"
"Dasu,Sridhara","453"
"Spanier,StefanM.","453"
"Jessop,ColinP.","453"
"Monge,M.R.","453"
"Smith,JamesG.","453"
"Simonetto,F.","453"
"Ford,WilliamT.","453"
"Sciacca,C.","453"
"Wright,DennisH.","452"
"Robutti,Enrico","452"
"Lange,DavidJ.","452"
"Olaiya,EmmanuelO.","452"
"Gritsan,AndreiV.","452"
"Kovalskyi,D.","452"
"Olsen,JamiesonT.","452"
"Richman,JeffreyD.","452"
"Long,Owen","451"
"Fulsom,BryanG.","450"
"D'Orazio,A.CondeM","449"
"Lanceri,LIVIO","448"
"Batignani,Giovanni","448"
"Berger,Niklaus","447"
"Vitale,LorenzoG.","447"
"Gary,J.William","445"
"Bettarini,S.","445"
"Blinov,V.E.","444"
"Rizzo,Giuliana","444"
"Skovpen,YuI.","443"
"Kobel,MichaelJ.","443"
"Wagner,StefanR.","442"
"Harrison,PaulF.","440"
"Bevan,AdrianJohn","440"
"Biesiada,JedrzejB.","440"
"Angelini,C.","440"
"Faccini,Riccardo","439"
"Bloom,P.C.","439"
"Onuchin,A.P.","439"
"Emery,Sandrine","439"
"Honscheiď,Klaus","439"
"Flood,KevinT.","439"
"Cartaro,Concetta","439"
"Hamon,Olivier","439"
"DeSangro,Riccardo","439"
"Serednyakov,SergeyI.","439"
"Finocchiaro,Giuseppe","439"
"Bernard,Denis","439"
"Edwards,A.J.","439"
"Ferrarotto,Fabio","439"
"Ferroni,Fernando","439"
"Solodov,E.P.","439"
"Dujmić,Denis","439"
"Fry,JohnRichard","439"
"Roney,J.Michael","439"
"Grosdidier,Gilbert","439"
"Chauveau,JacquesP.","439"
"Mazzoni,MariaAlessandra","439"
"Bonneaud,G.R.","439"
"Tisserand,Vincent","439"
"Innes,WalterR.","439"
"Davis,CarrieL.","439"
"Dorfan,JonathanM.","439"
"Kelsey,MichaelH.","439"
"Müller,DavidR.","439"
"Golubev,VladimirB.","439"
"Band,HenryR.","439"
"Gabathuler,Erwin","439"
"Calcaterra,AnnC.","439"
"Eisner,AndreasM.","439"
"Frey,RaymondE.","439"
"Convery,M.R.","439"
"Cowan,RayF.","439"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
