Scopus - Analyze author output

"Author name:","Bhattacharyya, Jayeeta"
"Scopus author ID:","9270056900"

"Co-authors:","60"

"Co-author","Co-authored documents"

"Helm,Manfred","16"
"Schneider,Harald","14"
"Winnerl,StephanF.","11"
"Zybell,S.","9"
"Ghosh,Sandip","9"
"Kira,Mackillo","7"
"Koch,StephanW.","7"
"Schneebeli,LuisaSabrinaStark","7"
"Böttge,ChristophN.","6"
"Arora,BrijMohan","6"
"Breddermann,B.","6"
"Strasser,Gottfried","5"
"Andrews,AaronMaxwell","5"
"Eßer,F.","4"
"Wilson,LukeR.","4"
"Ewers,Benjamin","3"
"Hopkinson,MarkJ.","3"
"Kono,Junichiro","3"
"Chatterjee,Sangam","3"
"Chernikov,AlexeyV.","3"
"Wagner,MartinK.","3"
"Koch,MartinW.","3"
"Gibbs,HyattM.","3"
"Khitrova,Galina","3"
"Rice,WilliamD.","3"
"Grahn,HolgerT.","3"
"Schmidt,OliverG.","2"
"Gokhale,MaheshR.","2"
"Schaff,WilliamJ.","1"
"Stephan,DanielR.","1"
"Kuntzsch,Michael","1"
"Teich,Martin","1"
"Huo,Y.H.","1"
"Köhler,KlausU.","1"
"Brandt,Oliver","1"
"Döhler,GottfriedH.","1"
"Hosea,ThomasJeffCockburn","1"
"Staats,Gerald","1"
"Al-Shemmary,Alaa","1"
"Kadir,Abdul","1"
"Fehrenbacher,Markus","1"
"Schneider,Ch","1"
"Eng,Lukas","1"
"Stehr,Dominik","1"
"Kaya,Cemil","1"
"Bhattacharya,Arnab","1"
"Gensch,Michael","1"
"Michel,Peter","1"
"Stojanovic,Nikola","1"
"Mittendorff,Martin","1"
"Malzer,Stefan","1"
"Atkinson,Paola","1"
"Evtushenko,PavelN.","1"
"Wenzel,MarcoTobias","1"
"Ribbeck,HansGeorgVon","1"
"Rastelli,Armando","1"
"Seidel,Wolfgang","1"
"Schneider,HaraldJörn","1"
"Jacob,Rainer","1"
"Lü,Hai","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
