Scopus - Analyze author output

"Author name:","Bisht, Prem Ballabh"
"Scopus author ID:","7003488774"

"Co-authors:","77"

"Co-author","Co-authored documents"

"Tripathi,HiraBallabh","10"
"Kalanoor,BasanthS.","9"
"Pant,DebiD.","8"
"Ramaprabhu,Sundara","7"
"Bongu,SudhakaraReddy","7"
"Dantham,VenkataRamanaiah","6"
"Tripathy,Umakanta","6"
"Rajesh,RajendiranJustin","5"
"Nautiyal,Ambika","5"
"Ali,SabirAkbar","5"
"Hirayama,Satoshi","5"
"Sandeep,P.","5"
"Sailaja,RallabandiRN","4"
"Aidhen,IndrapalSingh","4"
"Bindra,KushvinderSingh","4"
"Fukuda,Kazuhiro","4"
"Namboodiri,C.KR","4"
"Oak,Shrikantmadhusudan","4"
"Jena,KailashChandra","3"
"Yoshihara,Keitaro","3"
"Baby,TessyTheres","3"
"Kelly,ThomasJ.","3"
"AkbarAli,S.","3"
"Costello,John","3"
"Vincent,Aneesh","3"
"Singh,ChandraPal","2"
"Ali,AkbarS.","2"
"Namboodri,RamanCK","2"
"Pandey,KrishnaKumar","2"
"Nayak,PranatiL.","2"
"Mukkamala,Ramesh","2"
"Joshi,GlrishChandra","2"
"Kasiviswanathan,Subbiah","2"
"Patra,Anuradha","2"
"Chandra,BrijeshKC","2"
"Petek,Hrvoje","2"
"Sindhu,T.G.","2"
"Sreeja,V.","1"
"Sánchez,Félix","1"
"Okamoto,Masami","1"
"Reddy,BusireddySudhakar","1"
"Johnson,AlanE.","1"
"Annamalai,Senthilmurugan","1"
"Christopher,V.","1"
"Murthy,YellajyosulaLakshmiNarasimha","1"
"Prasad,UppuletiViplava","1"
"Nagasawa,Yutaka","1"
"Apparao,KrishnaMV","1"
"Natarajan,TirupatturSrinivasan","1"
"Subrahamanyam,A.","1"
"Velkannan,Veerapandian","1"
"Dantam,VaniR.","1"
"Tominaga,Keisuke","1"
"Joshi,HemChandra","1"
"Bhyrappa,Puttaiah","1"
"Nagashima,Umpei","1"
"Nanda,B.RK","1"
"Shaijumon,ManikothManikoth","1"
"García-Ochoa,Irene","1"
"Raju,ChSRVS","1"
"Vincent,Aneesh","1"
"Ramanaih,D.V.","1"
"Santos,Lucía","1"
"Douhal,Abderrazzak","1"
"Justin,RajeshR.","1"
"Shukla,VijayN.","1"
"MartínezAtáz,Ernesto","1"
"Tripathi,HeeraB.","1"
"Dobal,PramodS.","1"
"Yartsev,ArkadyP.","1"
"Satyanarayana,MandavilliVenkata","1"
"Fallon,Colm","1"
"Namboodiri,RamanCK","1"
"Senthilmurugan,Annamalai","1"
"Singh,KulinderPal","1"
"Kalnoor,BasanthS.","1"
"JustinRajesh,R.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
