Scopus - Analyze author output

"Author name:","Deshmukh, Pranawa C."
"Scopus author ID:","7005915740"

"Co-authors:","140"

"Co-author","Co-authored documents"

"Manson,StevenTrent","67"
"Varma,HariR.","17"
"Pradhan,GaganBihari","14"
"Radojević,Vojislav","13"
"Jose,JobinVinodh","12"
"Banerjee,Tanima","12"
"Chakraborty,HimadriS.","12"
"Dolmatov,ValeryK.","11"
"Kheifets,AnatoliS.","10"
"Lindle,DennisW.","10"
"Hemmers,OliverA.","8"
"Sellin,IvanA.","7"
"Mande,Chintamani","6"
"Khajuria,Yugal","5"
"Hansen,DavidL.","5"
"Shanthi,N.","5"
"Saha,Soumyajit","5"
"Mandal,Ankur","5"
"Kumar,SugamSunil","4"
"Kumar,Ashish","4"
"Dias,E.WB","4"
"Nasreen,Ghousia","4"
"Haque,Nasreen","4"
"Deshmukh,PrabodhachandraC.","4"
"Wang,Haobin","3"
"Deshmukh,Sudha","3"
"Wehlitz,Ralf","3"
"Heske,Clemens","3"
"Padma,R.","3"
"Johnson,WalterR.","3"
"George,Juby","3"
"Focke,P.R.","3"
"Majumder,Sonjoy","3"
"Ganesan,AarthiR.","3"
"Vijayan,C.","3"
"Aravind,G.S.","3"
"Keating,DavidA.","3"
"Dixit,Gopal","3"
"Whitfield,ScottB.","3"
"SunilKumar,S.B.","2"
"Govil,Karan","2"
"Wuilleumier,FrançoisJ.","2"
"Cubaynes,D.","2"
"Levin,JonC.","2"
"Champeaux,J.Ph","2"
"Khare,P.L.","2"
"UmmalMomeen,M.","2"
"Mosnier,JeanPaul","2"
"Bizau,JeanMarc","2"
"Blancard,Christophe","2"
"Chacko,Roby","2"
"Parida,ManasRanjan","2"
"Krishnaswamy,SudhaV.","2"
"Berrah,Nora","2"
"Rangarajan,G.","2"
"Libby,Jim","2"
"Sant'Anna,M.M.","2"
"Sudhir,Vivishek","2"
"Perera,RupertCC","2"
"Kennedy,EugeneT.","2"
"Snell,G.","2"
"Costello,John","2"
"Nrisimhamurty,M.","2"
"Piancaśtelli,MariaNovella","1"
"Linderberg,JanAN","1"
"Sindhu,KallikkakamS.","1"
"Haque,G.N.","1"
"Shirley,DavidA.","1"
"Chattopadhyay,Subha","1"
"Kurian,PushpaAnn","1"
"Wang,Honghong","1"
"Yu,Sungwoo","1"
"Prajapati,IshwarA.","1"
"Hayden,Patrick","1"
"Rout,ChandraSekhar","1"
"HariVarma,R.","1"
"LaJohn,L.A.","1"
"Gupta,AnchalK.","1"
"Pratt,RichardH.","1"
"Soddu,Andrea","1"
"Sharma,VandanaUM","1"
"Liu,SimonH.","1"
"Drube,Wolfgang","1"
"Mohapatra,SatyabrataS.","1"
"Marmoret,Rémy","1"
"Sunanda,K.P.","1"
"Rémond,Christian","1"
"Ghosh,Binita","1"
"Sandeep,C.SSuchand","1"
"Medhurst,LauraJ.","1"
"Mandal,AtisChandra","1"
"Gopalan,Aravind","1"
"Siji,A.J.","1"
"Madugula,Nrisimhamurty","1"
"Fisher,GalenB.","1"
"Wang,Hui","1"
"Esteva,JeanMarc","1"
"Hitz,Denis","1"
"Deshmukh,Sudha","1"
"Radojevió,Vojislav","1"
"Grehk,T.Mikael","1"
"Msezane,AlfredZ.","1"
"Thieß,Sebastian","1"
"Kushawaha,RajeshKumar","1"
"Guillemin,Renaud","1"
"Aarthi,G.","1"
"Carlson,ThomasA.","1"
"Clans,P.","1"
"Felfli,Zineb","1"
"Glans,PeterA.","1"
"Subramanian,KulandaveluP.","1"
"Sahoo,BijayaKumar","1"
"Chaudhuri,RajatK.","1"
"Deshmukh,PrabodhC.","1"
"Deb,NarayanC.","1"
"Chakraborty,PurushottamK.","1"
"Delaunay,M.A.","1"
"Wolska,Anna","1"
"Prasad,Edamana","1"
"Ferrett,TriciaA.","1"
"Mazzoldi,Paolo","1"
"Mane,RavinduG.","1"
"Bruneau,JeanL.","1"
"Philip,Reji","1"
"Zhou,Hsaioling","1"
"Cheng,Kwoktsang","1"
"Couillaud,Christophe","1"
"Bapat,Bhas","1"
"Sayyad,MuhammadHassan","1"
"CompantLaFontaine,Antoine","1"
"Gray,AndrewAncel","1"
"Rundhe,MilindV.","1"
"Rolles,Daniel","1"
"Gorczyca,ThomasWard","1"
"Nicholson,James","1"
"Jones,Blake","1"
"Kavitha,ManniledamK.","1"
"Kalyadan,Sindhu","1"
"Heimann,PhilipA.","1"
"Hayes,RobertG.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
