Scopus - Analyze author output

"Author name:","Ganesan, Aarthi R."
"Scopus author ID:","7006223454"

"Co-authors:","54"

"Co-author","Co-authored documents"

"Sirohi,RajpalSingh","10"
"Renganathan,Balusamy","8"
"Arulmozhivarman,Pachiyappan","5"
"Ramamurthy,K.","4"
"Nair,ManjulaG.","4"
"Sastikumar,Dillibabu","4"
"Joenathan,Charles","4"
"Srinivasan,R.","3"
"Deshmukh,PranawaC.","3"
"Murukeshan,VadakkeMatham","3"
"Meinlschmidt,Peter","3"
"Jesson,M.","3"
"Balasubrahmaniyam,M.","2"
"Deshmukh,Sudha","2"
"Mohan,DevendraKrishna","2"
"Radojević,Vojislav","2"
"ChandraBose,Arumugam","2"
"Pradhan,GaganBihari","2"
"Hinsch,KlausD.","2"
"Tan,B.C.","2"
"Kasiviswanathan,Subbiah","2"
"Manson,StevenTrent","2"
"Hinsch,KlausD.","1"
"Tan,B.C.","1"
"Malhotra,SantK.","1"
"PretheeshKumar,ValiyaparambilChacko","1"
"Soddu,Andrea","1"
"Chaudhari,U.M.","1"
"GokulRaj,S.","1"
"Hinrichs,Heiko","1"
"PraveenKumar,L.","1"
"Godbole,PrasannaB.","1"
"Shakher,Chandra","1"
"Shanthi,N.","1"
"Venkateswarlu,Putcha","1"
"Somasundaram,U.","1"
"Low,Kumsang","1"
"Brozeit,Alexander","1"
"Chen,Y.H.","1"
"Gupta,AmitK.","1"
"Jose,JobinVinodh","1"
"Sivaganthan,J.","1"
"Kalikivayi,Venkataramana","1"
"Steven,M.Blair","1"
"Abhilash,T.S.","1"
"Joenathan,Charles","1"
"Vikram,ChandraSen","1"
"Patra,Anuradha","1"
"Ang,C.K.","1"
"Gupta,AshimaK.","1"
"Pal,Sudip","1"
"Nicholson,James","1"
"Jones,Blake","1"
"Kumar,AshokN.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
