Scopus - Analyze author output

"Author name:","Ganesan, Angarai Ramanathan"
"Scopus author ID:","56516346600"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Kalikivayi,Venkataramana","4"
"PretheeshKumar,ValiyaparambilChacko","2"
"Kothiyal,MahendraPrasad","2"
"Kannan,KarthikSenthamarai","2"
"Sirohi,RajpalSingh","2"
"Udayakumar,K.","2"
"KrishnaKumar,R.","1"
"Sujatha,NarayananUnni","1"
"Ferraro,Pietro","1"
"Sharma,DineshKumar","1"
"Joenathan,Charles","1"
"Kalikivayi,Lavanya","1"
"Kannan,Krithivasan","1"
"Somasundram,Umapathy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
