Scopus - Analyze author output

"Author name:","Gopalakrishnan, Manoj V."
"Scopus author ID:","23392538300"

"Co-authors:","40"

"Co-author","Co-authored documents"

"Krishnamurthy.,Ramalingam","5"
"Forsten-Williams,Kimberly","5"
"Bhat,Deepak","4"
"Gokularathnam,C.V.","3"
"Roy,Ushasi","3"
"Täuber,UweClaus","3"
"Jithinraj,P.K.","3"
"Zia,RoyceKP","2"
"Govindan,BinduS.","2"
"Subramanian,RamanathanBV","2"
"Sornakumar,T.","2"
"Santhanakrishnan,R.","2"
"Muthu,SambanthamEsakki","2"
"Jemseena,V.","2"
"Nugent,MatthewA.","2"
"Schmittmann,Beate","2"
"Borowski,Piotr","1"
"Padro,Luz","1"
"Devarajan,M.","1"
"Thangavel,M.","1"
"Pearson,DavidW.","1"
"Golkularathnam,C.V.","1"
"Manikandan,D.","1"
"Gouthamraj,K.RS","1"
"Ryan,ThomasE.","1"
"Ghosh,Shivam","1"
"Reneaux,Melissa","1"
"Cassino,TheresaR.","1"
"Metzgar,KennethL.","1"
"Chowdhury,Debashish","1"
"Aravinth,M.","1"
"Jülicher,Frank","1"
"Rosetta,Danny","1"
"Annamalai,V.E.","1"
"Feldmeier,JohnJ.","1"
"Karthigeyan,L.M.","1"
"IshmaelParsai,E.","1"
"Zapotocky,Martin","1"
"Mitsi,Maria","1"
"Shvydka,Diana","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
