Scopus - Analyze author output

"Author name:","Govindarajan, Suresh"
"Scopus author ID:","7102763483"

"Co-authors:","27"

"Co-author","Co-authored documents"

"Jayaraman,T.","10"
"Sarkar,TapobrataP.","3"
"Ezhuthachan,Bobby","2"
"Jayaraman,Thiagarajan","2"
"Jockers,Hans","2"
"Krishna,K.Gopala","2"
"Majumder,Jaydeep","2"
"Gowdigere,ChethanN.","2"
"Nelson,PhilipC.","2"
"John,VargheseS.","2"
"Prabhakar,NaveenS.","1"
"Arés-Gastesi,Pablo","1"
"Tomasiello,Alessandro","1"
"Balakrishnan,SrivatsanK.","1"
"Rey,SooJong","1"
"Ovrut,BurtA.","1"
"Lerche,Wolfgang","1"
"Balasubramanian,AswinK.","1"
"Biswas,IndranilNDRANIL","1"
"Douglas,MichaelR.","1"
"Destainville,Nicolas","1"
"Warner,NicholasP.","1"
"Madhu,Kallingalthodi","1"
"GopalaKrishna,K.","1"
"Wong,Eugene","1"
"Jatkar,DileepP.","1"
"Acharya,BobbySamir","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
