Scopus - Analyze author output

"Author name:","Gupte, Neelima"
"Scopus author ID:","6603948360"

"Co-authors:","44"

"Co-author","Co-authored documents"

"Amritkar,RavindraE.","10"
"Jabeen,Zahera","7"
"Ramaswamy,Ramakrishna","6"
"Sinha,SudeshnaM.","6"
"Sharma,AshutoshB.","5"
"Singh,BrajendraKumar","5"
"Singh,NandiniChatterjee","4"
"Janaki,T.M.","4"
"Mukherjee,Satyam","4"
"Pradhan,GauriR.","3"
"Chakravarthy,VaddadiSrinivasa","3"
"Thyagu,N.Nirmal","3"
"Roy,RajarshiK.","3"
"Shenoy,SubodhR.","3"
"Kachhvah,AjayDeep","3"
"Gangal,AnilD.","2"
"Das,SwetamberK.","2"
"Yang,Huijie","1"
"Mukherjee,GoutamDev","1"
"Sinha,Somdatta","1"
"Nayak,ChitraR.","1"
"Jolly,Pratibha","1"
"Tadi,Bosiljka","1"
"Rao,Sumathi","1"
"Wu,Xiang","1"
"Kumar,KrantiSanjeeva","1"
"Mahata,Sasibhusan","1"
"Liu,Zonghua","1"
"Andjelković,Miroslav","1"
"Yogesh,S.","1"
"Katznelson,Ehud","1"
"Ramaswamy,Ram","1"
"Das,ApurbaKumar","1"
"Baskaran,Ganapathy","1"
"Das,AlakaD.","1"
"Maithreye,Rengaswamy","1"
"Narasimhan,Shobhana","1"
"Kalva,SanjeevaK.","1"
"Li,Baowen","1"
"Godbole,RohiniM.","1"
"Salhotra,Atul","1"
"Rengaswamy,Maithreye","1"
"Singha,Joydeep","1"
"Lakshminarayan,Arul","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
